Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
InterRent Real Estate Investment Trust,IIP-UN,2021,1,6,13.93,Real Estate,REIT由esidential,1920000000.0,4.94,N/A,0.95,0.0239,0.1081,4.583455415567927
InterRent Real Estate Investment Trust,IIP-UN,2021,1,7,13.9,Real Estate,REIT由esidential,1920000000.0,4.93,N/A,0.95,0.023399999999999997,0.1081,4.57641196013289
InterRent Real Estate Investment Trust,IIP-UN,2021,1,8,13.75,Real Estate,REIT由esidential,1900000000.0,4.87,N/A,0.94,0.023399999999999997,0.1081,4.47312878639828
InterRent Real Estate Investment Trust,IIP-UN,2021,1,11,13.82,Real Estate,REIT由esidential,1910000000.0,4.9,N/A,0.95,0.023700000000000002,0.1081,4.547230633974797
InterRent Real Estate Investment Trust,IIP-UN,2021,1,12,14.03,Real Estate,REIT由esidential,1940000000.0,4.97,N/A,0.96,0.0236,0.1081,4.661195779601406
InterRent Real Estate Investment Trust,IIP-UN,2021,1,13,14.05,Real Estate,REIT由esidential,1940000000.0,4.98,N/A,0.96,0.0232,0.1081,4.672400312744331
InterRent Real Estate Investment Trust,IIP-UN,2021,1,14,14.01,Real Estate,REIT由esidential,1930000000.0,4.96,N/A,0.96,0.0232,0.1081,4.653635652853791
InterRent Real Estate Investment Trust,IIP-UN,2021,1,15,14.1,Real Estate,REIT由esidential,1950000000.0,5.0,N/A,0.96,0.0232,0.1081,4.69116497263487
InterRent Real Estate Investment Trust,IIP-UN,2021,1,18,14.27,Real Estate,REIT由esidential,1970000000.0,5.06,N/A,0.98,0.0231,0.1081,4.84683804124719
InterRent Real Estate Investment Trust,IIP-UN,2021,1,19,14.37,Real Estate,REIT由esidential,1980000000.0,5.09,N/A,0.98,0.022799999999999997,0.1081,4.877004301916308
InterRent Real Estate Investment Trust,IIP-UN,2021,1,20,14.64,Real Estate,REIT由esidential,2020000000.0,5.19,N/A,1.0,0.0227,0.1081,5.07480199471986
InterRent Real Estate Investment Trust,IIP-UN,2021,1,21,14.52,Real Estate,REIT由esidential,2009999999.9999998,5.15,N/A,0.99,0.0222,0.1081,4.987771473292898
InterRent Real Estate Investment Trust,IIP-UN,2021,1,22,14.59,Real Estate,REIT由esidential,2009999999.9999998,5.17,N/A,1.0,0.022400000000000003,0.1081,5.056729264475743
