Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
IAMGOLD Corporation,IMG,2021,1,6,4.72,Basic Materials,Gold,2240000000,N/A,5.09,0.95,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,7,4.71,Basic Materials,Gold,2230000000,N/A,5.09,0.95,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,8,4.42,Basic Materials,Gold,2090000000,N/A,5.16,0.89,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,11,4.33,Basic Materials,Gold,2050000000,N/A,5.16,0.87,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,12,4.33,Basic Materials,Gold,2050000000,N/A,5.16,0.87,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,13,4.3,Basic Materials,Gold,2040000000,N/A,5.16,0.87,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,14,4.3,Basic Materials,Gold,2040000000,N/A,5.16,0.87,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,15,4.19,Basic Materials,Gold,1990000000,N/A,4.93,0.85,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,18,4.2,Basic Materials,Gold,1990000000,N/A,4.77,0.85,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,19,4.26,Basic Materials,Gold,2020000000,N/A,4.77,0.86,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,20,4.41,Basic Materials,Gold,2090000000,N/A,5.06,0.89,N/A,0,N/A
IAMGOLD Corporation,IMG,2021,1,21,4.34,Basic Materials,Gold,2060000000.0,N/A,5.06,0.88,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,22,4.4,Basic Materials,Gold,2080000000.0,N/A,5.06,0.89,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,25,4.32,Basic Materials,Gold,2049999999.9999998,N/A,5.06,0.87,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,26,4.33,Basic Materials,Gold,2049999999.9999998,N/A,5.06,0.87,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,27,4.22,Basic Materials,Gold,2000000000.0,N/A,5.06,0.85,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,28,4.33,Basic Materials,Gold,2049999999.9999998,N/A,5.06,0.87,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,1,29,4.34,Basic Materials,Gold,2060000000.0,N/A,5.06,0.88,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,1,4.51,Basic Materials,Gold,2140000000.0000002,N/A,5.06,0.91,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,1,4.51,Basic Materials,Gold,2140000000.0000002,N/A,5.06,0.91,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,2,4.41,Basic Materials,Gold,2089999999.9999998,N/A,5.06,0.89,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,3,4.49,Basic Materials,Gold,2130000000.0,N/A,5.06,0.91,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,4,4.42,Basic Materials,Gold,2089999999.9999998,N/A,5.06,0.89,N/A,0.0,N/A
IAMGOLD Corporation,IMG,2021,2,5,4.5,Basic Materials,Gold,2130000000.0,N/A,5.06,0.91,N/A,0.0,N/A
