Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Imperial Oil Limited,IMO,2021,1,6,27.42,Energy,Oil & Gas Integrated,20130000000.0,N/A,3.31,0.88,0.033,N/A,N/A
Imperial Oil Limited,IMO,2021,1,7,27.91,Energy,Oil & Gas Integrated,20490000000.0,N/A,2.96,0.9,0.033,N/A,N/A
Imperial Oil Limited,IMO,2021,1,8,27.61,Energy,Oil & Gas Integrated,20270000000.0,N/A,3.46,0.89,0.0315,N/A,N/A
Imperial Oil Limited,IMO,2021,1,11,27.55,Energy,Oil & Gas Integrated,20220000000.0,N/A,3.42,0.89,0.0315,N/A,N/A
Imperial Oil Limited,IMO,2021,1,12,27.59,Energy,Oil & Gas Integrated,20250000000.0,N/A,3.94,0.89,0.0319,N/A,N/A
Imperial Oil Limited,IMO,2021,1,13,27.04,Energy,Oil & Gas Integrated,19850000000.0,N/A,3.94,0.87,0.0319,N/A,N/A
Imperial Oil Limited,IMO,2021,1,14,27.88,Energy,Oil & Gas Integrated,20470000000.0,N/A,3.98,0.9,0.0319,N/A,N/A
Imperial Oil Limited,IMO,2021,1,15,26.81,Energy,Oil & Gas Integrated,19680000000.0,N/A,4.02,0.86,0.0319,N/A,N/A
Imperial Oil Limited,IMO,2021,1,18,26.66,Energy,Oil & Gas Integrated,19570000000.0,N/A,3.9,0.86,0.0316,N/A,N/A
Imperial Oil Limited,IMO,2021,1,19,26.95,Energy,Oil & Gas Integrated,19780000000.0,N/A,3.9,0.87,0.033,N/A,N/A
Imperial Oil Limited,IMO,2021,1,20,26.8,Energy,Oil & Gas Integrated,19670000000.0,N/A,3.96,0.86,0.0327,N/A,N/A
Imperial Oil Limited,IMO,2021,1,21,26.15,Energy,Oil & Gas Integrated,19200000000.0,N/A,6.29,0.84,0.0327,N/A,N/A
Imperial Oil Limited,IMO,2021,1,22,25.61,Energy,Oil & Gas Integrated,18800000000.0,N/A,6.29,0.82,0.0337,N/A,N/A
Imperial Oil Limited,IMO,2021,1,25,25.9,Energy,Oil & Gas Integrated,19010000000.0,N/A,6.29,0.83,0.0337,N/A,N/A
Imperial Oil Limited,IMO,2021,1,26,24.62,Energy,Oil & Gas Integrated,18070000000.0,N/A,6.25,0.79,0.034,N/A,N/A
Imperial Oil Limited,IMO,2021,1,27,24.49,Energy,Oil & Gas Integrated,17980000000.0,N/A,6.32,0.79,0.035699999999999996,N/A,N/A
Imperial Oil Limited,IMO,2021,1,28,24.87,Energy,Oil & Gas Integrated,18260000000.0,N/A,6.32,0.8,0.035699999999999996,N/A,N/A
Imperial Oil Limited,IMO,2021,1,29,24.33,Energy,Oil & Gas Integrated,17860000000.0,N/A,6.32,0.78,0.0354,N/A,N/A
Imperial Oil Limited,IMO,2021,2,1,25.21,Energy,Oil & Gas Integrated,18510000000.0,N/A,7.25,0.81,0.0354,N/A,N/A
Imperial Oil Limited,IMO,2021,2,2,24.21,Energy,Oil & Gas Integrated,17770000000.0,N/A,7.25,0.78,0.0354,N/A,N/A
Imperial Oil Limited,IMO,2021,2,3,25.42,Energy,Oil & Gas Integrated,18660000000.0,N/A,-5.91,0.82,0.0363,N/A,N/A
Imperial Oil Limited,IMO,2021,2,4,25.93,Energy,Oil & Gas Integrated,19030000000.0,N/A,-5.55,0.84,0.0363,N/A,N/A
Imperial Oil Limited,IMO,2021,2,5,25.81,Energy,Oil & Gas Integrated,18950000000.0,N/A,-5.55,0.83,0.0363,N/A,N/A
Imperial Oil Limited,IMO,2021,2,8,25.9,Energy,Oil & Gas Integrated,19010000000.0,N/A,-5.55,0.83,0.0339,N/A,N/A
Imperial Oil Limited,IMO,2021,2,9,25.66,Energy,Oil & Gas Integrated,18840000000.0,N/A,-5.55,0.83,0.0339,N/A,N/A
