Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
InMed Pharmaceuticals Inc.,IN,2021,1,6,4.53,Healthcare,Biotechnology,31710000.0,N/A,N/A,4.21,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,7,5.8,Healthcare,Biotechnology,40600000.0,N/A,N/A,5.4,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,8,5.98,Healthcare,Biotechnology,41860000.0,N/A,N/A,5.56,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,11,5.28,Healthcare,Biotechnology,36960000.0,N/A,N/A,4.91,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,12,4.83,Healthcare,Biotechnology,33810000.0,N/A,N/A,4.49,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,13,5.29,Healthcare,Biotechnology,37030000.0,N/A,N/A,4.92,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,14,5.51,Healthcare,Biotechnology,38570000.0,N/A,N/A,5.13,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,15,5.38,Healthcare,Biotechnology,37660000.0,N/A,N/A,5.0,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,18,5.3,Healthcare,Biotechnology,37100000.0,N/A,N/A,4.93,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,19,5.52,Healthcare,Biotechnology,38640000.0,N/A,N/A,5.13,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,20,5.33,Healthcare,Biotechnology,37310000.0,N/A,N/A,4.96,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,21,5.22,Healthcare,Biotechnology,36540000.0,N/A,N/A,4.86,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,22,5.17,Healthcare,Biotechnology,36190000.0,N/A,N/A,4.81,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,25,5.27,Healthcare,Biotechnology,36890000.0,N/A,N/A,4.9,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,26,5.08,Healthcare,Biotechnology,35560000.0,N/A,N/A,4.73,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,27,5.16,Healthcare,Biotechnology,36120000.0,N/A,N/A,4.8,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,28,5.04,Healthcare,Biotechnology,35280000.0,N/A,N/A,4.69,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,1,29,5.38,Healthcare,Biotechnology,37660000.0,N/A,N/A,5.0,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,1,5.31,Healthcare,Biotechnology,37170000.0,N/A,N/A,4.94,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,2,5.59,Healthcare,Biotechnology,39130000.0,N/A,N/A,5.2,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,3,6.64,Healthcare,Biotechnology,46480000.0,N/A,N/A,6.18,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,4,6.19,Healthcare,Biotechnology,43330000.0,N/A,N/A,5.76,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,5,5.53,Healthcare,Biotechnology,38710000.0,N/A,N/A,5.14,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,8,5.68,Healthcare,Biotechnology,39760000.0,N/A,N/A,5.28,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,9,6.28,Healthcare,Biotechnology,43960000.0,N/A,N/A,5.84,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,10,6.39,Healthcare,Biotechnology,44730000.0,N/A,N/A,5.94,N/A,0.0,N/A
InMed Pharmaceuticals Inc.,IN,2021,2,11,6.54,Healthcare,Biotechnology,45780000.0,N/A,N/A,6.08,N/A,0.0,N/A
