Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Income Financial Trust,INC-UN,2021,1,6,7.97,Financial Services,Asset Management,18520000.0,N/A,N/A,1.29,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,7,7.85,Financial Services,Asset Management,18240000.0,N/A,N/A,1.27,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,8,8.0,Financial Services,Asset Management,18590000.0,N/A,N/A,1.3,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,11,8.0,Financial Services,Asset Management,18590000.0,N/A,N/A,1.3,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,12,8.39,Financial Services,Asset Management,19490000.0,N/A,N/A,1.36,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,13,8.36,Financial Services,Asset Management,19420000.0,N/A,N/A,1.36,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,14,8.45,Financial Services,Asset Management,19630000.0,N/A,N/A,1.37,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,15,8.77,Financial Services,Asset Management,20380000.0,N/A,N/A,1.42,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,18,8.85,Financial Services,Asset Management,20560000.0,N/A,N/A,1.44,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,19,8.88,Financial Services,Asset Management,20630000.0,N/A,N/A,1.44,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,19,8.88,Financial Services,Asset Management,20630000.0,N/A,N/A,1.44,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,21,9.0,Financial Services,Asset Management,20910000.0,N/A,N/A,1.46,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,22,9.01,Financial Services,Asset Management,20930000.0,N/A,N/A,1.46,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,25,9.01,Financial Services,Asset Management,20930000.0,N/A,N/A,1.46,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,26,9.2,Financial Services,Asset Management,21380000.0,N/A,N/A,1.49,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,27,8.99,Financial Services,Asset Management,20890000.0,N/A,N/A,1.46,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,28,8.9,Financial Services,Asset Management,20680000.0,N/A,N/A,1.45,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,29,8.74,Financial Services,Asset Management,20310000.0,N/A,N/A,1.42,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,29,8.74,Financial Services,Asset Management,20310000.0,N/A,N/A,1.42,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,1,29,8.74,Financial Services,Asset Management,20310000.0,N/A,N/A,1.42,0.0983,1.6784000000000001,N/A
Income Financial Trust,INC-UN,2021,2,2,9.05,Financial Services,Asset Management,21030000.0,N/A,N/A,1.47,0.0983,1.6784000000000001,N/A
