Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Inter Pipeline Ltd.,IPL,2021,1,6,12.88,Energy,Oil & Gas Midstream,5530000000.0,18.83,-2.52,1.32,0.038,1.587,23.945664739884393
Inter Pipeline Ltd.,IPL,2021,1,7,12.93,Energy,Oil & Gas Midstream,5550000000.0,18.9,-2.52,1.33,0.0373,1.587,24.23310517690157
Inter Pipeline Ltd.,IPL,2021,1,8,13.06,Energy,Oil & Gas Midstream,5610000000.0,19.09,-2.74,1.34,0.0371,1.587,24.665509594060364
Inter Pipeline Ltd.,IPL,2021,1,11,13.14,Energy,Oil & Gas Midstream,5640000000.0,19.21,-2.77,1.35,0.0368,1.587,25.013020833333336
Inter Pipeline Ltd.,IPL,2021,1,12,13.54,Energy,Oil & Gas Midstream,5810000000.0,19.8,-2.77,1.39,0.0365,1.587,26.552821997105642
Inter Pipeline Ltd.,IPL,2021,1,13,13.1,Energy,Oil & Gas Midstream,5620000000.0,19.15,-2.77,1.35,0.0355,1.587,24.966199903428294
Inter Pipeline Ltd.,IPL,2021,1,14,13.56,Energy,Oil & Gas Midstream,5820000000.0,19.82,-2.77,1.39,0.0355,1.587,26.605311443746977
Inter Pipeline Ltd.,IPL,2021,1,15,13.52,Energy,Oil & Gas Midstream,5800000000.0,19.77,-2.87,1.39,0.0355,1.587,26.53819410912602
Inter Pipeline Ltd.,IPL,2021,1,18,13.3,Energy,Oil & Gas Midstream,5710000000.0,19.44,-2.87,1.37,0.0355,1.587,25.719748913568324
Inter Pipeline Ltd.,IPL,2021,1,19,13.47,Energy,Oil & Gas Midstream,5780000000.0,19.69,-2.87,1.38,0.0361,1.587,26.225460862851076
Inter Pipeline Ltd.,IPL,2021,1,20,13.35,Energy,Oil & Gas Midstream,5730000000.0,19.52,-2.87,1.37,0.0356,1.587,25.823097721127848
Inter Pipeline Ltd.,IPL,2021,1,21,13.25,Energy,Oil & Gas Midstream,5690000000.0,19.37,-2.83,1.36,0.036000000000000004,1.587,25.42779922779923
Inter Pipeline Ltd.,IPL,2021,1,22,13.29,Energy,Oil & Gas Midstream,5700000000.0,19.43,-2.83,1.37,0.0362,1.587,25.68915267322911
Inter Pipeline Ltd.,IPL,2021,1,25,13.36,Energy,Oil & Gas Midstream,5730000000.0,19.53,-2.83,1.37,0.0361,1.587,25.8238587008976
Inter Pipeline Ltd.,IPL,2021,1,26,13.13,Energy,Oil & Gas Midstream,5640000000.0,19.2,-2.83,1.35,0.0359,1.587,25.021720243266724
Inter Pipeline Ltd.,IPL,2021,1,27,12.99,Energy,Oil & Gas Midstream,5580000000.0,18.99,-2.83,1.34,0.0366,1.587,24.548138143932086
Inter Pipeline Ltd.,IPL,2021,1,28,13.23,Energy,Oil & Gas Midstream,5680000000.0,19.34,-2.83,1.36,0.0366,1.587,25.373721782751307
Inter Pipeline Ltd.,IPL,2021,1,29,12.83,Energy,Oil & Gas Midstream,5510000000.0,18.76,-2.83,1.32,0.0374,1.587,23.870445344129557
Inter Pipeline Ltd.,IPL,2021,2,1,12.89,Energy,Oil & Gas Midstream,5530000000.0,18.85,-2.83,1.32,0.0374,1.587,23.984962406015036
Inter Pipeline Ltd.,IPL,2021,2,2,12.97,Energy,Oil & Gas Midstream,5570000000.0,18.96,-2.83,1.33,0.037200000000000004,1.587,24.31237948322407
Inter Pipeline Ltd.,IPL,2021,2,3,13.11,Energy,Oil & Gas Midstream,5630000000.0,19.17,-2.83,1.35,0.037000000000000005,1.587,24.956123432979755
Inter Pipeline Ltd.,IPL,2021,2,4,13.2,Energy,Oil & Gas Midstream,5670000000.0,19.3,-2.83,1.36,0.037000000000000005,1.587,25.311475409836067
Inter Pipeline Ltd.,IPL,2021,2,5,13.23,Energy,Oil & Gas Midstream,5680000000.0,19.34,-2.79,1.36,0.0364,1.587,25.378618294094945
Inter Pipeline Ltd.,IPL,2021,2,8,13.38,Energy,Oil & Gas Midstream,5740000000.0,19.56,-2.79,1.38,0.0363,1.587,26.047283605133643
Inter Pipeline Ltd.,IPL,2021,2,9,13.43,Energy,Oil & Gas Midstream,5760000000.0,19.63,-2.79,1.38,0.0363,1.587,26.14049985525427
Inter Pipeline Ltd.,IPL,2021,2,10,13.4,Energy,Oil & Gas Midstream,5750000000.0,19.59,-2.79,1.38,0.035699999999999996,1.587,26.10234623925847
Inter Pipeline Ltd.,IPL,2021,2,11,17.32,Energy,Oil & Gas Midstream,7430000000.0,25.32,-2.79,1.78,0.0358,1.587,43.51187487932033
Inter Pipeline Ltd.,IPL,2021,2,12,17.43,Energy,Oil & Gas Midstream,7480000000.0,25.48,-3.28,1.79,0.0358,1.587,44.03282486966596
Inter Pipeline Ltd.,IPL,2021,2,16,17.4,Energy,Oil & Gas Midstream,7470000000.0,25.44,-3.28,1.79,0.0275,1.587,44.31883211678832
