Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Kinross Gold Corporation,K,2021,1,6,10.14,Basic Materials,Gold,12760000000.0,11.94,N/A,2.19,0.0154,0.0353,25.75201890880441
Kinross Gold Corporation,K,2021,1,7,9.94,Basic Materials,Gold,12510000000.0,11.71,N/A,2.15,0.0154,0.0353,24.794662202087846
Kinross Gold Corporation,K,2021,1,8,9.39,Basic Materials,Gold,11820000000.0,11.06,N/A,2.03,0.0155,0.0353,22.109108813392414
Kinross Gold Corporation,K,2021,1,11,9.22,Basic Materials,Gold,11600000000.0,10.86,N/A,1.99,0.016399999999999998,0.0353,21.262691853600945
Kinross Gold Corporation,K,2021,1,12,9.23,Basic Materials,Gold,11610000000.0,10.87,N/A,1.99,0.0167,0.0353,21.27599095111636
Kinross Gold Corporation,K,2021,1,13,9.13,Basic Materials,Gold,11490000000.0,10.75,N/A,1.97,0.0167,0.0353,20.829644929674437
Kinross Gold Corporation,K,2021,1,14,9.1,Basic Materials,Gold,11450000000.0,10.72,N/A,1.97,0.0169,0.0353,20.767430425803916
Kinross Gold Corporation,K,2021,1,15,8.87,Basic Materials,Gold,11160000000.0,10.45,N/A,1.92,0.0169,0.0353,19.7305536434261
Kinross Gold Corporation,K,2021,1,18,8.9,Basic Materials,Gold,11200000000.0,10.48,N/A,1.92,0.0174,0.0353,19.77747198741891
Kinross Gold Corporation,K,2021,1,19,8.9,Basic Materials,Gold,11200000000.0,10.48,N/A,1.92,0.0174,0.0353,19.77747198741891
Kinross Gold Corporation,K,2021,1,20,9.09,Basic Materials,Gold,11440000000.0,10.71,N/A,1.96,0.0173,0.0353,20.63462105573577
Kinross Gold Corporation,K,2021,1,21,9.02,Basic Materials,Gold,11350000000.0,10.62,N/A,1.95,0.0169,0.0353,20.364834300324517
Kinross Gold Corporation,K,2021,1,22,8.94,Basic Materials,Gold,11250000000.0,10.53,N/A,1.93,0.0171,0.0353,19.981221118867367
Kinross Gold Corporation,K,2021,1,25,8.97,Basic Materials,Gold,11290000000.0,10.57,N/A,1.94,0.0172,0.0353,20.15906409752261
Kinross Gold Corporation,K,2021,1,26,8.93,Basic Materials,Gold,11240000000.0,10.52,N/A,1.93,0.0172,0.0353,19.960283130161223
Kinross Gold Corporation,K,2021,1,27,8.66,Basic Materials,Gold,10900000000.0,10.2,N/A,1.87,0.0172,0.0353,18.751474636256386
Kinross Gold Corporation,K,2021,1,28,8.92,Basic Materials,Gold,11220000000.0,10.51,N/A,1.93,0.0178,0.0353,19.929553939870306
Kinross Gold Corporation,K,2021,1,29,8.93,Basic Materials,Gold,11240000000.0,10.52,N/A,1.93,0.0172,0.0353,19.960283130161223
Kinross Gold Corporation,K,2021,2,1,9.25,Basic Materials,Gold,11640000000.0,10.9,N/A,2.0,0.0172,0.0353,21.43138025953598
Kinross Gold Corporation,K,2021,2,2,9.0,Basic Materials,Gold,11320000000.0,10.6,N/A,1.95,0.0166,0.0353,20.33248081841432
Kinross Gold Corporation,K,2021,2,3,9.16,Basic Materials,Gold,11530000000.0,10.79,N/A,1.98,0.0171,0.0353,21.00501425621866
Kinross Gold Corporation,K,2021,2,4,8.98,Basic Materials,Gold,11300000000.0,10.58,N/A,1.94,0.0168,0.0353,20.18607395751377
Kinross Gold Corporation,K,2021,2,5,9.28,Basic Materials,Gold,11680000000.0,10.93,N/A,2.01,0.0171,0.0353,21.599941008750367
Kinross Gold Corporation,K,2021,2,8,9.42,Basic Materials,Gold,11850000000.0,11.1,N/A,2.04,0.0166,0.0353,22.274247491638796
Kinross Gold Corporation,K,2021,2,9,9.33,Basic Materials,Gold,11740000000.0,10.99,N/A,2.02,0.0163,0.0353,21.843746925120534
Kinross Gold Corporation,K,2021,2,9,9.33,Basic Materials,Gold,11740000000.0,10.99,N/A,2.02,0.0163,0.0353,21.843746925120534
Kinross Gold Corporation,K,2021,2,10,9.32,Basic Materials,Gold,11730000000.0,10.98,N/A,2.01,0.0163,0.0353,21.715831939387975
