Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Keyera Corp.,KEY,2021,1,6,24.06,Energy,Oil & Gas Midstream,5320000000.0,31.78,93.1,1.8,0.0805,2.56,52.942156409069874
Keyera Corp.,KEY,2021,1,7,24.17,Energy,Oil & Gas Midstream,5340000000.0,31.93,93.1,1.8,0.07980000000000001,2.56,53.22652343026486
Keyera Corp.,KEY,2021,1,8,24.19,Energy,Oil & Gas Midstream,5350000000.0,31.96,99.47,1.81,0.0794,2.56,53.59236612933111
Keyera Corp.,KEY,2021,1,11,24.46,Energy,Oil & Gas Midstream,5410000000.0,32.31,99.53,1.83,0.0794,2.56,54.77793218454698
Keyera Corp.,KEY,2021,1,12,25.52,Energy,Oil & Gas Midstream,5640000000.0,33.71,99.53,1.91,0.0785,2.56,59.69967547519703
Keyera Corp.,KEY,2021,1,13,24.99,Energy,Oil & Gas Midstream,5520000000.0,33.01,99.53,1.87,0.07519999999999999,2.56,57.41136532738095
Keyera Corp.,KEY,2021,1,14,25.69,Energy,Oil & Gas Midstream,5680000000.0,33.94,99.53,1.92,0.0768,2.56,60.51708766716196
Keyera Corp.,KEY,2021,1,15,25.4,Energy,Oil & Gas Midstream,5610000000.0,33.55,105.73,1.9,0.0768,2.56,59.19855126300148
Keyera Corp.,KEY,2021,1,18,25.41,Energy,Oil & Gas Midstream,5620000000.0,33.57,105.73,1.9,0.0756,2.56,59.299925622908134
Keyera Corp.,KEY,2021,1,19,26.7,Energy,Oil & Gas Midstream,5900000000.0,35.27,105.73,1.99,0.0756,2.56,65.25409074005206
Keyera Corp.,KEY,2021,1,20,26.37,Energy,Oil & Gas Midstream,5830000000.0,34.83,109.87,1.97,0.0719,2.56,64.01259445843829
Keyera Corp.,KEY,2021,1,21,25.65,Energy,Oil & Gas Midstream,5670000000.0,33.88,108.53,1.91,0.0728,2.56,60.31953765846384
Keyera Corp.,KEY,2021,1,22,25.23,Energy,Oil & Gas Midstream,5580000000.0,33.33,108.53,1.88,0.07490000000000001,2.56,58.29416689924644
Keyera Corp.,KEY,2021,1,25,25.03,Energy,Oil & Gas Midstream,5530000000.0,33.06,108.53,1.87,0.0761,2.56,57.45023696682465
Keyera Corp.,KEY,2021,1,26,24.56,Energy,Oil & Gas Midstream,5430000000.0,32.44,103.0,1.83,0.0767,2.56,55.13624965171357
Keyera Corp.,KEY,2021,1,27,24.1,Energy,Oil & Gas Midstream,5330000000.0,31.84,-37.7,1.8,0.0782,2.56,53.15525876460767
Keyera Corp.,KEY,2021,1,28,24.15,Energy,Oil & Gas Midstream,5340000000.0,31.9,-37.7,1.8,0.0797,2.56,53.18143928869131
Keyera Corp.,KEY,2021,1,29,24.02,Energy,Oil & Gas Midstream,5310000000.0,31.73,-37.7,1.79,0.0799,2.56,52.5944068895268
Keyera Corp.,KEY,2021,2,1,24.56,Energy,Oil & Gas Midstream,5430000000.0,32.44,-37.7,1.83,0.0799,2.56,54.97286785813501
Keyera Corp.,KEY,2021,2,2,24.74,Energy,Oil & Gas Midstream,5470000000.0,32.68,-37.7,1.85,0.0799,2.56,55.98481340864895
