Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Corvus Gold Inc.,KOR,2021,1,6,3.24,Basic Materials,Gold,401720000.0,N/A,N/A,28.42,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,7,3.24,Basic Materials,Gold,401720000.0,N/A,N/A,28.42,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,8,3.06,Basic Materials,Gold,379400000.0,N/A,N/A,32.55,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,11,3.1,Basic Materials,Gold,392560000.0,N/A,N/A,33.33,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,12,3.05,Basic Materials,Gold,386230000.0,N/A,N/A,32.8,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,13,3.03,Basic Materials,Gold,383700000.0,N/A,N/A,32.58,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,14,3.03,Basic Materials,Gold,383700000.0,N/A,N/A,32.58,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,15,2.91,Basic Materials,Gold,368500000.0,N/A,N/A,31.29,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,18,2.86,Basic Materials,Gold,362170000.0,N/A,N/A,30.75,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,19,2.9,Basic Materials,Gold,367240000.0,N/A,N/A,31.18,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,20,2.98,Basic Materials,Gold,377370000.0,N/A,N/A,32.04,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,21,2.89,Basic Materials,Gold,365970000.0,N/A,N/A,31.08,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,22,2.9,Basic Materials,Gold,367240000.0,N/A,N/A,31.18,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,25,2.86,Basic Materials,Gold,362170000.0,N/A,N/A,30.75,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,26,2.84,Basic Materials,Gold,359640000.0,N/A,N/A,30.54,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,27,2.74,Basic Materials,Gold,346970000.0,N/A,N/A,29.46,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,28,2.77,Basic Materials,Gold,350770000.0,N/A,N/A,29.78,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,1,29,2.8,Basic Materials,Gold,354570000.0,N/A,N/A,30.11,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,1,2.95,Basic Materials,Gold,373570000.0,N/A,N/A,31.72,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,1,2.95,Basic Materials,Gold,373570000.0,N/A,N/A,31.72,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,2,2.92,Basic Materials,Gold,369770000.0,N/A,N/A,31.4,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,3,2.91,Basic Materials,Gold,368500000.0,N/A,N/A,31.29,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,4,2.92,Basic Materials,Gold,369770000.0,N/A,N/A,31.4,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,5,2.99,Basic Materials,Gold,378630000.0,N/A,N/A,32.15,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,8,3.04,Basic Materials,Gold,384960000.0,N/A,N/A,32.69,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,9,3.01,Basic Materials,Gold,381170000.0,N/A,N/A,32.37,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,9,3.01,Basic Materials,Gold,381170000.0,N/A,N/A,32.37,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,10,2.96,Basic Materials,Gold,374830000.0,N/A,N/A,31.83,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,11,2.99,Basic Materials,Gold,378630000.0,N/A,N/A,32.15,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,12,2.99,Basic Materials,Gold,378630000.0,N/A,N/A,32.15,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,16,2.95,Basic Materials,Gold,373570000.0,N/A,N/A,31.72,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,17,2.95,Basic Materials,Gold,373570000.0,N/A,N/A,31.72,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,18,2.83,Basic Materials,Gold,358370000.0,N/A,N/A,30.43,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,19,2.8,Basic Materials,Gold,354570000.0,N/A,N/A,30.11,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,22,2.81,Basic Materials,Gold,355840000.0,N/A,N/A,30.22,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,23,2.71,Basic Materials,Gold,343180000.0,N/A,N/A,29.14,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,24,2.61,Basic Materials,Gold,330510000.0,N/A,N/A,28.06,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,25,2.53,Basic Materials,Gold,320380000.0,N/A,N/A,27.2,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,2,26,2.41,Basic Materials,Gold,305190000.0,N/A,N/A,25.91,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,3,1,2.3,Basic Materials,Gold,291260000.0,N/A,N/A,24.73,N/A,0.0,N/A
