Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Lightspeed POS Inc.,LSPD,2021,1,6,82.44,Technology,Software—Application,9710000000.0,N/A,N/A,13.21,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,7,85.41,Technology,Software—Application,10060000000.0,N/A,N/A,13.68,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,8,86.12,Technology,Software—Application,10150000000.0,N/A,N/A,13.8,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,11,85.84,Technology,Software—Application,9610000000.0,N/A,N/A,13.75,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,12,88.04,Technology,Software—Application,10370000000.0,N/A,N/A,14.1,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,13,95.09,Technology,Software—Application,11200000000.0,N/A,N/A,15.23,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,14,94.55,Technology,Software—Application,11140000000.0,N/A,N/A,15.15,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,15,89.34,Technology,Software—Application,10520000000.0,N/A,N/A,14.31,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,18,91.86,Technology,Software—Application,10820000000.0,N/A,N/A,14.72,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,19,92.35,Technology,Software—Application,10880000000.0,N/A,N/A,14.79,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,20,91.27,Technology,Software—Application,10750000000.0,N/A,N/A,14.62,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,21,88.82,Technology,Software—Application,10460000000.0,N/A,N/A,14.23,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,22,87.88,Technology,Software—Application,10350000000.0,N/A,N/A,14.08,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,25,88.16,Technology,Software—Application,10390000000.0,N/A,N/A,14.12,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,26,89.95,Technology,Software—Application,10600000000.0,N/A,N/A,14.41,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,27,83.84,Technology,Software—Application,9880000000.0,N/A,N/A,13.43,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,28,86.91,Technology,Software—Application,10240000000.0,N/A,N/A,13.92,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,1,29,83.13,Technology,Software—Application,9790000000.0,N/A,N/A,13.32,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,2,1,91.22,Technology,Software—Application,10750000000.0,N/A,N/A,14.61,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,2,2,92.0,Technology,Software—Application,10840000000.0,N/A,N/A,14.74,N/A,0.0,N/A
Lightspeed POS Inc.,LSPD,2021,2,3,95.55,Technology,Software—Application,11260000000.0,N/A,N/A,15.31,N/A,0.0,N/A
