Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
MAG Silver Corp.,MAG,2021,1,6,28.57,Basic Materials,Silver,2710000000.0,N/A,-3.09,8.98,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,7,28.11,Basic Materials,Silver,2660000000.0,N/A,-3.4,8.83,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,8,26.59,Basic Materials,Silver,2520000000.0,N/A,-3.34,8.36,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,11,26.31,Basic Materials,Silver,2490000000.0,N/A,-3.16,8.27,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,12,26.27,Basic Materials,Silver,2490000000.0,N/A,-3.16,8.26,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,13,25.0,Basic Materials,Silver,2370000000.0,N/A,-3.16,7.86,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,14,25.11,Basic Materials,Silver,2380000000.0,N/A,-3.16,7.89,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,15,23.53,Basic Materials,Silver,2230000000.0,N/A,-3.0,7.39,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,18,23.68,Basic Materials,Silver,2240000000.0,N/A,-3.0,7.44,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,19,23.14,Basic Materials,Silver,2190000000.0,N/A,-3.0,7.27,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,20,24.43,Basic Materials,Silver,2310000000.0,N/A,-3.0,7.68,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,21,23.71,Basic Materials,Silver,2250000000.0,N/A,-2.92,7.45,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,22,23.4,Basic Materials,Silver,2220000000.0,N/A,-2.92,7.35,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,25,22.91,Basic Materials,Silver,2170000000.0,N/A,-2.92,7.2,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,26,22.99,Basic Materials,Silver,2180000000.0,N/A,-2.92,7.23,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,27,21.36,Basic Materials,Silver,2020000000.0,N/A,-2.92,6.71,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,28,22.88,Basic Materials,Silver,2170000000.0,N/A,-2.92,7.19,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,1,29,24.97,Basic Materials,Silver,2370000000.0,N/A,-2.76,7.85,N/A,0.0,N/A
MAG Silver Corp.,MAG,2021,2,1,28.4,Basic Materials,Silver,2690000000.0,N/A,-2.76,8.93,N/A,0.0,N/A
