Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Magellan Aerospace Corporation,MAL,2021,1,6,9.07,Industrials,Aerospace & Defense,524150000.0,14.82,1.42,0.64,0.0462,0.6884999999999999,9.06595297266297
Magellan Aerospace Corporation,MAL,2021,1,7,9.3,Industrials,Aerospace & Defense,537440000.0,15.2,1.42,0.66,0.0463,0.6884999999999999,9.588072254611488
Magellan Aerospace Corporation,MAL,2021,1,8,9.18,Industrials,Aerospace & Defense,530510000.0,15.0,1.51,0.65,0.0452,0.6884999999999999,9.328358208955224
Magellan Aerospace Corporation,MAL,2021,1,11,9.09,Industrials,Aerospace & Defense,525309999.99999994,14.85,1.51,0.64,0.0458,0.6884999999999999,9.087779690189327
Magellan Aerospace Corporation,MAL,2021,1,12,9.11,Industrials,Aerospace & Defense,526460000.00000006,14.89,1.51,0.64,0.0462,0.6884999999999999,9.108774612884726
Magellan Aerospace Corporation,MAL,2021,1,13,8.93,Industrials,Aerospace & Defense,516059999.99999994,14.59,1.51,0.63,0.0461,0.6884999999999999,8.786636076856896
Magellan Aerospace Corporation,MAL,2021,1,14,9.34,Industrials,Aerospace & Defense,539750000.0,15.26,1.51,0.66,0.047,0.6884999999999999,9.61948424068768
Magellan Aerospace Corporation,MAL,2021,1,15,9.5,Industrials,Aerospace & Defense,549000000.0,15.52,1.51,0.67,0.045,0.6884999999999999,9.95062200956938
Magellan Aerospace Corporation,MAL,2021,1,18,9.38,Industrials,Aerospace & Defense,542060000.0,15.33,1.54,0.66,0.044199999999999996,0.6884999999999999,9.689523079869756
Magellan Aerospace Corporation,MAL,2021,1,19,9.5,Industrials,Aerospace & Defense,549000000.0,15.52,1.54,0.67,0.044800000000000006,0.6884999999999999,9.952526799387444
Magellan Aerospace Corporation,MAL,2021,1,20,9.43,Industrials,Aerospace & Defense,544950000.0,15.41,1.54,0.66,0.044199999999999996,0.6884999999999999,9.740088105726873
Magellan Aerospace Corporation,MAL,2021,1,21,9.62,Industrials,Aerospace & Defense,555930000.0,15.72,1.53,0.68,0.044500000000000005,0.6884999999999999,10.23417903303016
Magellan Aerospace Corporation,MAL,2021,1,22,9.56,Industrials,Aerospace & Defense,552470000.0,15.62,1.53,0.67,0.0437,0.6884999999999999,10.02721088435374
Magellan Aerospace Corporation,MAL,2021,1,25,9.77,Industrials,Aerospace & Defense,564600000.0,15.96,1.53,0.69,0.043899999999999995,0.6884999999999999,10.549286330108247
Magellan Aerospace Corporation,MAL,2021,1,26,9.47,Industrials,Aerospace & Defense,547270000.0,15.47,1.53,0.67,0.043,0.6884999999999999,9.93758389261745
Magellan Aerospace Corporation,MAL,2021,1,27,9.21,Industrials,Aerospace & Defense,532240000.0,15.05,1.53,0.65,0.0444,0.6884999999999999,9.366621983914209
Magellan Aerospace Corporation,MAL,2021,1,28,9.27,Industrials,Aerospace & Defense,535710000.00000006,15.15,1.53,0.65,0.045599999999999995,0.6884999999999999,9.418037490436113
Magellan Aerospace Corporation,MAL,2021,1,29,9.01,Industrials,Aerospace & Defense,520679999.99999994,14.72,1.53,0.64,0.0466,0.6884999999999999,9.001337664819415
Magellan Aerospace Corporation,MAL,2021,2,1,9.48,Industrials,Aerospace & Defense,547840000.0,15.49,1.53,0.67,0.0466,0.6884999999999999,9.916204853812346
Magellan Aerospace Corporation,MAL,2021,2,2,9.6,Industrials,Aerospace & Defense,554780000.0,15.69,1.53,0.68,0.0443,0.6884999999999999,10.216604424016086
Magellan Aerospace Corporation,MAL,2021,2,3,9.67,Industrials,Aerospace & Defense,558820000.0,15.8,1.53,0.68,0.0438,0.6884999999999999,10.293159609120522
