Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Medicenna Therapeutics Corp.,MDNA,2021,1,6,5.33,Healthcare,Biotechnology,261160000.00000003,N/A,N/A,7.25,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,7,5.41,Healthcare,Biotechnology,265079999.99999997,N/A,N/A,7.36,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,8,5.48,Healthcare,Biotechnology,268510000.0,N/A,N/A,7.46,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,11,5.5,Healthcare,Biotechnology,269490000.0,N/A,N/A,7.48,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,12,5.38,Healthcare,Biotechnology,263610000.0,N/A,N/A,7.32,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,13,5.22,Healthcare,Biotechnology,255770000.0,N/A,N/A,7.1,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,14,5.3,Healthcare,Biotechnology,259690000.0,N/A,N/A,7.21,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,15,5.2,Healthcare,Biotechnology,254790000.0,N/A,N/A,7.07,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,18,5.32,Healthcare,Biotechnology,260670000.00000003,N/A,N/A,7.24,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,19,5.18,Healthcare,Biotechnology,253810000.0,N/A,N/A,7.05,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,20,5.53,Healthcare,Biotechnology,270960000.0,N/A,N/A,7.52,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,21,5.49,Healthcare,Biotechnology,269000000.0,N/A,N/A,7.47,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,22,5.47,Healthcare,Biotechnology,268019999.99999997,N/A,N/A,7.44,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,25,5.79,Healthcare,Biotechnology,283700000.0,N/A,N/A,7.88,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,26,5.62,Healthcare,Biotechnology,275370000.0,N/A,N/A,7.65,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,27,5.33,Healthcare,Biotechnology,261160000.00000003,N/A,N/A,7.25,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,28,5.09,Healthcare,Biotechnology,249400000.0,N/A,N/A,6.93,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,1,29,5.01,Healthcare,Biotechnology,245240000.0,N/A,N/A,6.81,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,1,5.15,Healthcare,Biotechnology,252340000.0,N/A,N/A,7.01,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,1,5.15,Healthcare,Biotechnology,252340000.0,N/A,N/A,7.01,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,2,5.04,Healthcare,Biotechnology,246950000.0,N/A,N/A,6.86,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,3,5.21,Healthcare,Biotechnology,255280000.0,N/A,N/A,7.09,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,4,5.15,Healthcare,Biotechnology,252340000.0,N/A,N/A,7.01,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,5,5.21,Healthcare,Biotechnology,255280000.0,N/A,N/A,7.09,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,8,5.22,Healthcare,Biotechnology,255770000.0,N/A,N/A,7.1,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,9,5.28,Healthcare,Biotechnology,258709999.99999997,N/A,N/A,7.18,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,10,5.19,Healthcare,Biotechnology,254300000.0,N/A,N/A,7.06,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,11,5.21,Healthcare,Biotechnology,255280000.0,N/A,N/A,7.09,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,12,5.05,Healthcare,Biotechnology,247440000.0,N/A,N/A,6.87,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,16,5.22,Healthcare,Biotechnology,255770000.0,N/A,N/A,7.73,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,17,5.45,Healthcare,Biotechnology,288320000.0,N/A,N/A,8.07,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,18,5.32,Healthcare,Biotechnology,281440000.0,N/A,N/A,7.88,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,19,5.3,Healthcare,Biotechnology,280380000.0,N/A,N/A,7.85,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,22,5.33,Healthcare,Biotechnology,281970000.0,N/A,N/A,7.9,N/A,0.0,N/A
Medicenna Therapeutics Corp.,MDNA,2021,2,23,5.17,Healthcare,Biotechnology,273500000.0,N/A,N/A,7.66,N/A,0.0,N/A
