Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Maple Leaf Foods Inc.,MFI,2021,1,6,27.11,Consumer Defensive,Packaged Foods,3360000000.0,31.89,4.42,1.72,0.0232,0.7353000000000001,53.60711493354182
Maple Leaf Foods Inc.,MFI,2021,1,7,26.9,Consumer Defensive,Packaged Foods,3330000000.0,31.65,4.42,1.71,0.0236,0.7353000000000001,52.87368112543962
Maple Leaf Foods Inc.,MFI,2021,1,8,27.1,Consumer Defensive,Packaged Foods,3360000000.0,31.88,4.21,1.72,0.023799999999999998,0.7353000000000001,53.55889822230904
Maple Leaf Foods Inc.,MFI,2021,1,11,26.88,Consumer Defensive,Packaged Foods,3330000000.0,31.62,4.24,1.7,0.0236,0.7353000000000001,52.51465416178194
Maple Leaf Foods Inc.,MFI,2021,1,12,26.55,Consumer Defensive,Packaged Foods,3290000000.0,31.24,4.29,1.68,0.023799999999999998,0.7353000000000001,51.26313733151005
Maple Leaf Foods Inc.,MFI,2021,1,13,26.4,Consumer Defensive,Packaged Foods,3270000000.0,31.06,4.29,1.67,0.0241,0.7353000000000001,50.64954594277902
Maple Leaf Foods Inc.,MFI,2021,1,14,26.21,Consumer Defensive,Packaged Foods,3250000000.0,30.84,4.29,1.66,0.0242,0.7353000000000001,49.98476859988283
Maple Leaf Foods Inc.,MFI,2021,1,15,26.07,Consumer Defensive,Packaged Foods,3230000000.0,30.67,4.15,1.65,0.024399999999999998,0.7353000000000001,49.40013666536509
Maple Leaf Foods Inc.,MFI,2021,1,18,26.15,Consumer Defensive,Packaged Foods,3240000000.0,30.76,4.13,1.66,0.0245,0.7353000000000001,49.84050756466569
Maple Leaf Foods Inc.,MFI,2021,1,19,25.83,Consumer Defensive,Packaged Foods,3200000000.0,30.39,4.13,1.64,0.0245,0.7353000000000001,48.647730600292824
Maple Leaf Foods Inc.,MFI,2021,1,20,25.86,Consumer Defensive,Packaged Foods,3200000000.0,30.42,4.13,1.64,0.0245,0.7353000000000001,48.69575402635432
Maple Leaf Foods Inc.,MFI,2021,1,21,25.86,Consumer Defensive,Packaged Foods,3200000000.0,30.42,4.13,1.64,0.024700000000000003,0.7353000000000001,48.686249634039235
Maple Leaf Foods Inc.,MFI,2021,1,22,25.86,Consumer Defensive,Packaged Foods,3200000000.0,30.42,4.13,1.64,0.024700000000000003,0.7353000000000001,48.686249634039235
Maple Leaf Foods Inc.,MFI,2021,1,25,25.5,Consumer Defensive,Packaged Foods,3160000000.0,30.0,4.13,1.62,0.024700000000000003,0.7353000000000001,47.42851566312092
Maple Leaf Foods Inc.,MFI,2021,1,26,25.59,Consumer Defensive,Packaged Foods,3170000000.0,30.11,4.13,1.62,0.025099999999999997,0.7353000000000001,47.58384547848991
Maple Leaf Foods Inc.,MFI,2021,1,27,25.28,Consumer Defensive,Packaged Foods,3130000000.0,29.74,4.13,1.6,0.025,0.7353000000000001,46.42341463414635
Maple Leaf Foods Inc.,MFI,2021,1,28,25.55,Consumer Defensive,Packaged Foods,3170000000.0,30.06,4.13,1.62,0.0253,0.7353000000000001,47.495562274456255
Maple Leaf Foods Inc.,MFI,2021,1,29,24.99,Consumer Defensive,Packaged Foods,3100000000.0,29.4,4.13,1.58,0.025,0.7353000000000001,45.319024390243904
Maple Leaf Foods Inc.,MFI,2021,2,1,25.35,Consumer Defensive,Packaged Foods,3140000000.0,29.82,4.13,1.61,0.0256,0.7353000000000001,46.81181747269891
Maple Leaf Foods Inc.,MFI,2021,2,1,25.35,Consumer Defensive,Packaged Foods,3140000000.0,29.82,4.13,1.61,0.0256,0.7353000000000001,46.81181747269891
Maple Leaf Foods Inc.,MFI,2021,2,2,25.0,Consumer Defensive,Packaged Foods,3100000000.0,29.41,4.13,1.59,0.0252,0.7353000000000001,45.61246586031994
Maple Leaf Foods Inc.,MFI,2021,2,3,24.98,Consumer Defensive,Packaged Foods,3100000000.0,29.39,4.13,1.58,0.0256,0.7353000000000001,45.277106084243364
