Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Magna International Inc.,MG,2021,1,6,95.39,Consumer Cyclical,Auto Parts,28550000000.0,62.67,N/A,2.79,0.0223,1.0433,171.03521471192408
Magna International Inc.,MG,2021,1,7,94.47,Consumer Cyclical,Auto Parts,28270000000.0,62.07,N/A,2.77,0.0216,1.0433,168.29864917776035
Magna International Inc.,MG,2021,1,8,96.26,Consumer Cyclical,Auto Parts,28810000000.0,63.25,N/A,2.82,0.0218,1.0433,174.55960070463885
Magna International Inc.,MG,2021,1,11,95.34,Consumer Cyclical,Auto Parts,28530000000.0,62.64,N/A,2.79,0.021400000000000002,1.0433,171.10397493636185
Magna International Inc.,MG,2021,1,12,96.69,Consumer Cyclical,Auto Parts,28940000000.0,63.53,N/A,2.83,0.0216,1.0433,175.98854737666406
Magna International Inc.,MG,2021,1,13,95.32,Consumer Cyclical,Auto Parts,28530000000.0,62.63,N/A,2.79,0.0213,1.0433,171.09341035934594
Magna International Inc.,MG,2021,1,14,94.0,Consumer Cyclical,Auto Parts,28130000000.0,61.76,N/A,2.75,0.0216,1.0433,166.24902114330462
Magna International Inc.,MG,2021,1,15,92.87,Consumer Cyclical,Auto Parts,27790000000.0,61.02,N/A,2.72,0.0216,1.0433,162.4651527016445
Magna International Inc.,MG,2021,1,18,93.42,Consumer Cyclical,Auto Parts,27790000000.0,61.38,N/A,2.74,0.0222,1.0433,164.52866366660146
Magna International Inc.,MG,2021,1,19,92.27,Consumer Cyclical,Auto Parts,27610000000.0,60.62,N/A,2.7,0.022000000000000002,1.0433,160.15068493150685
Magna International Inc.,MG,2021,1,20,95.9,Consumer Cyclical,Auto Parts,28700000000.0,63.01,N/A,2.81,0.022000000000000002,1.0433,173.24667318982387
Magna International Inc.,MG,2021,1,21,97.26,Consumer Cyclical,Auto Parts,29110000000.0,63.9,N/A,2.85,0.0215,1.0433,178.28193832599118
Magna International Inc.,MG,2021,1,22,96.79,Consumer Cyclical,Auto Parts,28970000000.0,63.59,N/A,2.84,0.0212,1.0433,176.84645515080294
Magna International Inc.,MG,2021,1,25,96.63,Consumer Cyclical,Auto Parts,28920000000.0,63.49,N/A,2.83,0.0213,1.0433,175.92940370116517
Magna International Inc.,MG,2021,1,26,93.69,Consumer Cyclical,Auto Parts,28040000000.0,61.56,N/A,2.74,0.0213,1.0433,165.15656516204837
Magna International Inc.,MG,2021,1,27,89.29,Consumer Cyclical,Auto Parts,26720000000.0,58.67,N/A,2.62,0.022000000000000002,1.0433,150.40645792563603
Magna International Inc.,MG,2021,1,28,92.29,Consumer Cyclical,Auto Parts,27620000000.0,60.64,N/A,2.7,0.0231,1.0433,160.03127748998145
Magna International Inc.,MG,2021,1,29,90.06,Consumer Cyclical,Auto Parts,26950000000.0,59.17,N/A,2.64,0.0229,1.0433,152.71170202365826
Magna International Inc.,MG,2021,2,1,92.32,Consumer Cyclical,Auto Parts,27630000000.0,60.66,N/A,2.7,0.0229,1.0433,160.11535829504354
Magna International Inc.,MG,2021,2,2,93.84,Consumer Cyclical,Auto Parts,28080000000.0,61.66,N/A,2.75,0.0229,1.0433,165.76889236484507
Magna International Inc.,MG,2021,2,3,97.3,Consumer Cyclical,Auto Parts,29120000000.0,63.93,N/A,2.85,0.0219,1.0433,178.2958215089539
Magna International Inc.,MG,2021,2,4,97.5,Consumer Cyclical,Auto Parts,29180000000.0,64.06,N/A,2.86,0.0219,1.0433,179.28525296017222
Magna International Inc.,MG,2021,2,5,97.59,Consumer Cyclical,Auto Parts,29210000000.0,64.12,N/A,2.86,0.0219,1.0433,179.45317545748117
Magna International Inc.,MG,2021,2,8,98.22,Consumer Cyclical,Auto Parts,29390000000.0,64.53,N/A,2.88,0.021099999999999997,1.0433,182.00607188326316
Magna International Inc.,MG,2021,2,9,97.54,Consumer Cyclical,Auto Parts,29190000000.0,64.09,N/A,2.86,0.021099999999999997,1.0433,179.50974439330136
Magna International Inc.,MG,2021,2,10,97.0,Consumer Cyclical,Auto Parts,29030000000.0,63.73,N/A,2.84,0.021,1.0433,177.27051909892262
Magna International Inc.,MG,2021,2,11,98.53,Consumer Cyclical,Auto Parts,29490000000.0,64.74,N/A,2.89,0.0212,1.0433,183.2144535840188
Magna International Inc.,MG,2021,2,12,98.88,Consumer Cyclical,Auto Parts,29590000000.0,64.97,N/A,2.9,0.0209,1.0433,184.55578411205798
Magna International Inc.,MG,2021,2,16,99.45,Consumer Cyclical,Auto Parts,29760000000.0,65.34,N/A,2.91,0.0208,1.0433,186.2650862068966
Magna International Inc.,MG,2021,2,17,99.06,Consumer Cyclical,Auto Parts,29650000000.0,65.09,N/A,2.9,0.0207,1.0433,184.9328891936906
Magna International Inc.,MG,2021,2,18,95.7,Consumer Cyclical,Auto Parts,28640000000.0,62.88,N/A,2.8,0.0208,1.0433,172.47648902821317
Magna International Inc.,MG,2021,2,19,105.12,Consumer Cyclical,Auto Parts,31460000000.0,69.07,N/A,3.08,0.0215,1.0433,208.25805188448356
Magna International Inc.,MG,2021,2,22,109.56,Consumer Cyclical,Auto Parts,32930000000.0,43.48,N/A,2.9,0.0196,1.0433,123.66810513927028
Magna International Inc.,MG,2021,2,23,108.17,Consumer Cyclical,Auto Parts,32509999999.999996,42.92,N/A,2.86,0.018799999999999997,0.6349,120.48606203376522
Magna International Inc.,MG,2021,2,24,108.64,Consumer Cyclical,Auto Parts,32509999999.999996,43.11,N/A,2.87,0.019,0.6349,121.41874386653583
Magna International Inc.,MG,2021,2,25,103.9,Consumer Cyclical,Auto Parts,31220000000.0,41.23,N/A,2.75,0.0189,0.6349,111.2793208361959
Magna International Inc.,MG,2021,2,26,107.19,Consumer Cyclical,Auto Parts,32210000000.0,42.54,N/A,2.83,0.019799999999999998,0.6349,118.05079427338693
Magna International Inc.,MG,2021,3,1,108.76,Consumer Cyclical,Auto Parts,32689999999.999996,43.16,N/A,2.87,0.0192,0.6349,121.53571428571426
Magna International Inc.,MG,2021,3,2,109.03,Consumer Cyclical,Auto Parts,32770000000.000004,43.27,N/A,2.88,0.0189,0.6349,122.30601629207972
Magna International Inc.,MG,2021,3,3,111.92,Consumer Cyclical,Auto Parts,33630000000.000004,44.41,N/A,2.96,0.02,0.6349,128.87607843137255
Magna International Inc.,MG,2021,3,4,107.79,Consumer Cyclical,Auto Parts,32390000000.0,42.77,N/A,2.85,0.0195,0.6349,119.563021088769
