Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,6,0.85,Financial Services,Asset Management,5320000.0,8.17,N/A,17.71,0.1012,1.0909,131.39366146022522
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,7,0.86,Financial Services,Asset Management,5390000.0,8.27,N/A,17.92,0.1012,1.0909,134.5790047221213
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,7,0.86,Financial Services,Asset Management,5390000.0,8.27,N/A,17.92,0.1012,1.0909,134.5790047221213
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,11,0.87,Financial Services,Asset Management,5450000.0,8.37,N/A,18.12,0.1,1.0909,137.87672727272727
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,11,0.87,Financial Services,Asset Management,5450000.0,8.37,N/A,18.12,0.0989,1.0909,138.014742014742
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,13,0.87,Financial Services,Asset Management,5450000.0,8.37,N/A,18.12,0.0989,1.0909,138.014742014742
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,14,0.85,Financial Services,Asset Management,5320000.0,8.17,N/A,17.71,0.0989,1.0909,131.66866866866866
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,15,0.84,Financial Services,Asset Management,5260000.0,8.08,N/A,17.5,0.0989,1.0909,128.67412867412867
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,18,0.81,Financial Services,Asset Management,5260000.0,7.79,N/A,16.88,0.1024,1.0909,119.2808417997097
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,19,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,20,0.8,Financial Services,Asset Management,5010000.0,7.69,N/A,16.67,0.1173,1.0909,114.7340016110266
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,21,0.79,Financial Services,Asset Management,4950000.0,7.6,N/A,16.46,0.1173,1.0909,111.96276738566188
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,22,0.85,Financial Services,Asset Management,5320000.0,8.17,N/A,17.71,0.12029999999999999,1.0909,129.15353030438274
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,25,0.84,Financial Services,Asset Management,5260000.0,8.08,N/A,17.5,0.1118,1.0909,127.18114768843319
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,26,0.83,Financial Services,Asset Management,5200000.0,7.98,N/A,17.29,0.1131,1.0909,123.95490072769742
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,27,0.8,Financial Services,Asset Management,5010000.0,7.69,N/A,16.67,0.11449999999999999,1.0909,115.02225213100046
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,28,0.8,Financial Services,Asset Management,5010000.0,7.69,N/A,16.67,0.1188,1.0909,114.58017518770112
Mackenzie Master Limited Partnership,MKZ-UN,2021,1,29,0.77,Financial Services,Asset Management,4820000.0,7.4,N/A,16.04,0.1234,1.0909,105.6578244614563
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,1,0.79,Financial Services,Asset Management,4950000.0,7.6,N/A,16.46,0.1234,1.0909,111.35481573793841
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,2,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1234,1.0909,117.05109489051094
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,3,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,3,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,3,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,3,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,9,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,9,0.81,Financial Services,Asset Management,5070000.0,7.79,N/A,16.88,0.1173,1.0909,117.69014588740713
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,10,0.79,Financial Services,Asset Management,4950000.0,7.6,N/A,16.46,0.1173,1.0909,111.96276738566188
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,11,0.78,Financial Services,Asset Management,4890000.0,7.5,N/A,16.25,0.12029999999999999,1.0909,108.78782468981522
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,12,0.78,Financial Services,Asset Management,4890000.0,7.5,N/A,16.25,0.12179999999999999,1.0909,108.64236049206633
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,12,0.78,Financial Services,Asset Management,4890000.0,7.5,N/A,16.25,0.12179999999999999,1.0909,108.64236049206633
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,17,0.82,Financial Services,Asset Management,5140000.0,7.88,N/A,17.08,0.12179999999999999,1.0909,119.97717953289356
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,18,0.79,Financial Services,Asset Management,4950000.0,7.6,N/A,16.46,0.1159,1.0909,112.10323505690475
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,18,0.79,Financial Services,Asset Management,4950000.0,7.6,N/A,16.46,0.12029999999999999,1.0909,111.66294742479693
Mackenzie Master Limited Partnership,MKZ-UN,2021,2,22,0.78,Financial Services,Asset Management,4890000.0,7.5,N/A,16.25,0.12029999999999999,1.0909,108.78782468981522
