Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Melcor Developments Ltd.,MRD,2021,1,6,9.16,Real Estate,Real Estate—Development,303470000.0,10.61,N/A,0.28,0.0366,0.44189999999999996,2.8659077754196414
Melcor Developments Ltd.,MRD,2021,1,7,9.19,Real Estate,Real Estate—Development,304460000.0,10.65,N/A,0.28,0.0349,0.44189999999999996,2.881437820079235
Melcor Developments Ltd.,MRD,2021,1,8,9.39,Real Estate,Real Estate—Development,311090000.0,10.88,N/A,0.29,0.0349,0.44189999999999996,3.0487969852159633
Melcor Developments Ltd.,MRD,2021,1,11,9.76,Real Estate,Real Estate—Development,323340000.0,11.31,N/A,0.3,0.0341,0.44189999999999996,3.2811140121845086
Melcor Developments Ltd.,MRD,2021,1,12,9.96,Real Estate,Real Estate—Development,329970000.0,11.54,N/A,0.3,0.032799999999999996,0.44189999999999996,3.3520526723470176
Melcor Developments Ltd.,MRD,2021,1,13,10.04,Real Estate,Real Estate—Development,332620000.0,11.63,N/A,0.31,0.0321,0.44189999999999996,3.4931692665439398
Melcor Developments Ltd.,MRD,2021,1,14,9.84,Real Estate,Real Estate—Development,325830000.0,11.4,N/A,0.3,0.0319,0.44189999999999996,3.3142746390154083
Melcor Developments Ltd.,MRD,2021,1,15,10.38,Real Estate,Real Estate—Development,343720000.0,12.02,N/A,0.32,0.0319,0.44189999999999996,3.7274929741253997
Melcor Developments Ltd.,MRD,2021,1,18,10.34,Real Estate,Real Estate—Development,343720000.0,11.98,N/A,0.31,0.0308,0.44189999999999996,3.6028327512611567
Melcor Developments Ltd.,MRD,2021,1,19,10.43,Real Estate,Real Estate—Development,345540000.0,12.09,N/A,0.32,0.030899999999999997,0.44189999999999996,3.752837326607819
Melcor Developments Ltd.,MRD,2021,1,20,10.73,Real Estate,Real Estate—Development,355480000.0,12.43,N/A,0.33,0.030699999999999998,0.44189999999999996,3.979722518676627
Melcor Developments Ltd.,MRD,2021,1,21,10.69,Real Estate,Real Estate—Development,354160000.0,12.39,N/A,0.33,0.030699999999999998,0.44189999999999996,3.9669156883671297
Melcor Developments Ltd.,MRD,2021,1,22,10.4,Real Estate,Real Estate—Development,344550000.0,12.05,N/A,0.32,0.029900000000000003,0.44189999999999996,3.7440528206622004
Melcor Developments Ltd.,MRD,2021,1,25,9.98,Real Estate,Real Estate—Development,330630000.0,11.56,N/A,0.3,0.0308,0.44189999999999996,3.3643771827706637
Melcor Developments Ltd.,MRD,2021,1,26,10.04,Real Estate,Real Estate—Development,332620000.0,11.63,N/A,0.31,0.0321,0.44189999999999996,3.4931692665439398
Melcor Developments Ltd.,MRD,2021,1,27,9.88,Real Estate,Real Estate—Development,327320000.0,11.45,N/A,0.3,0.0321,0.44189999999999996,3.3281658753996703
Melcor Developments Ltd.,MRD,2021,1,28,9.54,Real Estate,Real Estate—Development,316060000.0,11.05,N/A,0.29,0.032400000000000005,0.44189999999999996,3.103932584269663
Melcor Developments Ltd.,MRD,2021,1,29,9.49,Real Estate,Real Estate—Development,314400000.0,11.0,N/A,0.29,0.0335,0.44189999999999996,3.086598935655539
Melcor Developments Ltd.,MRD,2021,2,1,9.6,Real Estate,Real Estate—Development,318040000.0,11.12,N/A,0.29,0.0337,0.44189999999999996,3.119667214859243
Melcor Developments Ltd.,MRD,2021,2,2,9.92,Real Estate,Real Estate—Development,328650000.0,11.49,N/A,0.3,0.0337,0.44189999999999996,3.3346231982199863
Melcor Developments Ltd.,MRD,2021,2,3,10.39,Real Estate,Real Estate—Development,344220000.0,12.04,N/A,0.32,0.0323,0.44189999999999996,3.7322483774096678
Melcor Developments Ltd.,MRD,2021,2,4,10.17,Real Estate,Real Estate—Development,336930000.0,11.78,N/A,0.31,0.0323,0.44189999999999996,3.537537537537537
Melcor Developments Ltd.,MRD,2021,2,5,10.3,Real Estate,Real Estate—Development,341230000.0,11.94,N/A,0.31,0.0323,0.44189999999999996,3.585585585585586
Melcor Developments Ltd.,MRD,2021,2,8,10.27,Real Estate,Real Estate—Development,340240000.0,11.9,N/A,0.31,0.0311,0.44189999999999996,3.5777325186693827
