Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Martinrea International Inc.,MRE,2021,1,6,15.75,Consumer Cyclical,Auto Parts,1260000000.0,N/A,3.07,1.07,0.013600000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,7,15.7,Consumer Cyclical,Auto Parts,1260000000.0,N/A,3.07,1.06,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,1,8,16.03,Consumer Cyclical,Auto Parts,1290000000.0,N/A,3.19,1.09,0.0127,N/A,N/A
Martinrea International Inc.,MRE,2021,1,11,15.89,Consumer Cyclical,Auto Parts,1280000000.0,N/A,3.26,1.08,0.0125,N/A,N/A
Martinrea International Inc.,MRE,2021,1,12,15.63,Consumer Cyclical,Auto Parts,1250000000.0,N/A,0.06,1.06,0.0126,N/A,N/A
Martinrea International Inc.,MRE,2021,1,13,15.12,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.26,1.02,0.0126,N/A,N/A
Martinrea International Inc.,MRE,2021,1,14,15.11,Consumer Cyclical,Auto Parts,1210000000.0,N/A,0.06,1.02,0.0128,N/A,N/A
Martinrea International Inc.,MRE,2021,1,15,14.86,Consumer Cyclical,Auto Parts,1190000000.0,N/A,3.07,1.01,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,1,18,15.0,Consumer Cyclical,Auto Parts,1200000000.0,N/A,3.07,1.02,0.013500000000000002,N/A,N/A
Martinrea International Inc.,MRE,2021,1,19,14.93,Consumer Cyclical,Auto Parts,1200000000.0,N/A,3.07,1.01,0.013300000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,20,15.23,Consumer Cyclical,Auto Parts,1220000000.0,N/A,3.07,1.03,0.013300000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,21,15.03,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.89,1.02,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,1,22,14.85,Consumer Cyclical,Auto Parts,1190000000.0,N/A,3.1,1.01,0.013300000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,25,14.75,Consumer Cyclical,Auto Parts,1180000000.0,N/A,3.1,1.0,0.013500000000000002,N/A,N/A
Martinrea International Inc.,MRE,2021,1,26,14.61,Consumer Cyclical,Auto Parts,1170000000.0,N/A,3.1,0.99,0.013600000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,27,13.8,Consumer Cyclical,Auto Parts,1110000000.0,N/A,3.1,0.93,0.013600000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,1,28,14.05,Consumer Cyclical,Auto Parts,1130000000.0,N/A,3.1,0.95,0.0137,N/A,N/A
Martinrea International Inc.,MRE,2021,1,29,13.56,Consumer Cyclical,Auto Parts,1090000000.0,N/A,3.1,0.92,0.0147,N/A,N/A
Martinrea International Inc.,MRE,2021,2,1,14.05,Consumer Cyclical,Auto Parts,1130000000.0,N/A,3.1,0.95,0.0147,N/A,N/A
Martinrea International Inc.,MRE,2021,2,1,14.05,Consumer Cyclical,Auto Parts,1130000000.0,N/A,3.1,0.95,0.0147,N/A,N/A
Martinrea International Inc.,MRE,2021,2,2,14.71,Consumer Cyclical,Auto Parts,1180000000.0,N/A,3.1,1.0,0.014199999999999999,N/A,N/A
Martinrea International Inc.,MRE,2021,2,3,14.9,Consumer Cyclical,Auto Parts,1200000000.0,N/A,0.05,1.01,0.014199999999999999,N/A,N/A
Martinrea International Inc.,MRE,2021,2,4,14.93,Consumer Cyclical,Auto Parts,1200000000.0,N/A,3.1,1.01,0.013600000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,2,5,14.77,Consumer Cyclical,Auto Parts,1190000000.0,N/A,3.04,1.0,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,2,8,14.95,Consumer Cyclical,Auto Parts,1200000000.0,N/A,3.04,1.01,0.013500000000000002,N/A,N/A
Martinrea International Inc.,MRE,2021,2,9,15.1,Consumer Cyclical,Auto Parts,1210000000.0,N/A,N/A,N/A,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,2,9,15.1,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.04,1.02,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,2,10,15.2,Consumer Cyclical,Auto Parts,1220000000.0,N/A,3.04,1.03,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,2,11,15.34,Consumer Cyclical,Auto Parts,1230000000.0,N/A,3.04,1.04,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,2,12,15.3,Consumer Cyclical,Auto Parts,1230000000.0,N/A,3.04,1.04,0.013000000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,2,16,15.14,Consumer Cyclical,Auto Parts,1220000000.0,N/A,3.16,1.03,0.0131,N/A,N/A
Martinrea International Inc.,MRE,2021,2,17,15.0,Consumer Cyclical,Auto Parts,1200000000.0,N/A,3.16,1.02,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,2,18,14.48,Consumer Cyclical,Auto Parts,1160000000.0,N/A,3.16,0.98,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,2,19,14.66,Consumer Cyclical,Auto Parts,1180000000.0,N/A,3.16,0.99,0.013300000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,2,22,14.77,Consumer Cyclical,Auto Parts,1190000000.0,N/A,3.16,1.0,0.013600000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,2,23,14.49,Consumer Cyclical,Auto Parts,1160000000.0,N/A,3.16,0.98,0.013500000000000002,N/A,N/A
Martinrea International Inc.,MRE,2021,2,24,14.63,Consumer Cyclical,Auto Parts,1170000000.0,N/A,0.05,0.99,0.0138,N/A,N/A
Martinrea International Inc.,MRE,2021,2,25,14.4,Consumer Cyclical,Auto Parts,1160000000.0,N/A,3.16,0.98,0.0138,N/A,N/A
Martinrea International Inc.,MRE,2021,2,26,14.88,Consumer Cyclical,Auto Parts,1190000000.0,N/A,3.16,1.01,0.0137,N/A,N/A
Martinrea International Inc.,MRE,2021,3,1,15.11,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.16,1.02,0.0134,N/A,N/A
Martinrea International Inc.,MRE,2021,3,2,15.01,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.16,1.02,0.0132,N/A,N/A
Martinrea International Inc.,MRE,2021,3,3,15.36,Consumer Cyclical,Auto Parts,1230000000.0,N/A,3.16,1.04,0.013300000000000001,N/A,N/A
Martinrea International Inc.,MRE,2021,3,4,15.2,Consumer Cyclical,Auto Parts,1220000000.0,N/A,3.16,1.03,0.013300000000000001,N/A,N/A
