Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,6,15.98,Real Estate,REIT由esidential,623370000.0,3.08,N/A,0.48,0.044199999999999996,0.1344,1.4158207239992338
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,7,15.87,Real Estate,REIT由esidential,619080000.0,3.06,N/A,0.48,0.0438,0.1344,1.4071661237785014
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,8,15.86,Real Estate,REIT由esidential,618690000.0,3.05,N/A,0.47,0.0438,0.1344,1.3733473845564281
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,11,15.68,Real Estate,REIT由esidential,611830000.0,3.02,N/A,0.47,0.0441,0.1344,1.359448328704147
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,12,15.53,Real Estate,REIT由esidential,605980000.0,2.99,N/A,0.47,0.0446,0.1344,1.345299636224392
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,13,15.57,Real Estate,REIT由esidential,607540000.0,3.0,N/A,0.47,0.045,0.1344,1.3492822966507176
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,14,15.72,Real Estate,REIT由esidential,613390000.0,3.03,N/A,0.47,0.0449,0.1344,1.3629055412001148
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,15,15.9,Real Estate,REIT由esidential,620410000.0,3.06,N/A,0.48,0.0449,0.1344,1.4056847545219637
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,18,15.99,Real Estate,REIT由esidential,620420000.0,3.08,N/A,0.48,0.044000000000000004,0.1344,1.4160919540229884
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,19,15.92,Real Estate,REIT由esidential,621200000.0,3.07,N/A,0.48,0.0438,0.1344,1.4117647058823526
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,20,16.0,Real Estate,REIT由esidential,624320000.0,3.08,N/A,0.48,0.0438,0.1344,1.416363287986204
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,21,15.92,Real Estate,REIT由esidential,621200000.0,3.07,N/A,0.48,0.0437,0.1344,1.4118999712561078
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,1,22,15.92,Real Estate,REIT由esidential,621200000.0,3.07,N/A,0.48,0.043899999999999995,0.1344,1.4116294664239868
