Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,0.56,N/A,0.0,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nuvo Pharmaceuticals Inc.,NRI,2020,12,31,0.91,Healthcare,Drug Manufacturers—Specialty & Generic,10360000.0,N/A,N/A,N/A,N/A,N/A,N/A
