Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Nickel Creek Platinum Corp.,NCP,2021,1,6,0.15,Basic Materials,Other Industrial Metals & Mining,51440000.0,N/A,N/A,1.79,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,7,0.16,Basic Materials,Other Industrial Metals & Mining,54870000.0,N/A,N/A,1.9,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,8,0.16,Basic Materials,Other Industrial Metals & Mining,54870000.0,N/A,N/A,1.9,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,11,0.14,Basic Materials,Other Industrial Metals & Mining,48010000.0,N/A,N/A,1.67,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,12,0.14,Basic Materials,Other Industrial Metals & Mining,48010000.0,N/A,N/A,1.67,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,13,0.145,Basic Materials,Other Industrial Metals & Mining,49720000.0,N/A,N/A,1.73,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,14,0.14,Basic Materials,Other Industrial Metals & Mining,48010000.0,N/A,N/A,1.67,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,15,0.13,Basic Materials,Other Industrial Metals & Mining,44580000.0,N/A,N/A,1.55,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,18,0.125,Basic Materials,Other Industrial Metals & Mining,44580000.0,N/A,N/A,1.49,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,19,0.13,Basic Materials,Other Industrial Metals & Mining,44580000.0,N/A,N/A,1.55,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,20,0.125,Basic Materials,Other Industrial Metals & Mining,42860000.0,N/A,N/A,1.49,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,21,0.135,Basic Materials,Other Industrial Metals & Mining,46290000.0,N/A,N/A,1.61,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,22,0.135,Basic Materials,Other Industrial Metals & Mining,46290000.0,N/A,N/A,1.61,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,25,0.14,Basic Materials,Other Industrial Metals & Mining,48010000.0,N/A,N/A,1.67,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,26,0.135,Basic Materials,Other Industrial Metals & Mining,46290000.0,N/A,N/A,1.61,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,27,0.13,Basic Materials,Other Industrial Metals & Mining,44580000.0,N/A,N/A,1.55,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,28,0.135,Basic Materials,Other Industrial Metals & Mining,46290000.0,N/A,N/A,1.61,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,1,29,0.12,Basic Materials,Other Industrial Metals & Mining,41150000.0,N/A,N/A,1.43,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,2,1,0.11,Basic Materials,Other Industrial Metals & Mining,37720000.0,N/A,N/A,1.31,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,2,1,0.11,Basic Materials,Other Industrial Metals & Mining,37720000.0,N/A,N/A,1.31,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,2,2,0.11,Basic Materials,Other Industrial Metals & Mining,37720000.0,N/A,N/A,1.31,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,2,3,0.11,Basic Materials,Other Industrial Metals & Mining,37720000.0,N/A,N/A,1.31,N/A,0.0,N/A
Nickel Creek Platinum Corp.,NCP,2021,2,4,0.11,Basic Materials,Other Industrial Metals & Mining,37720000.0,N/A,N/A,1.31,N/A,0.0,N/A
