Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Nevada Copper Corp.,NCU,2021,1,6,0.175,Basic Materials,Copper,260450000.0,N/A,N/A,0.69,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,7,0.205,Basic Materials,Copper,305090000.0,N/A,N/A,0.81,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,8,0.21,Basic Materials,Copper,312530000.0,N/A,N/A,0.83,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,11,0.195,Basic Materials,Copper,290210000.0,N/A,N/A,0.77,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,12,0.185,Basic Materials,Copper,275330000.0,N/A,N/A,0.73,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,13,0.18,Basic Materials,Copper,267890000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,14,0.18,Basic Materials,Copper,267890000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,15,0.175,Basic Materials,Copper,260450000.0,N/A,N/A,0.69,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,18,0.18,Basic Materials,Copper,260450000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,19,0.175,Basic Materials,Copper,260450000.0,N/A,N/A,0.69,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,20,0.18,Basic Materials,Copper,267890000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,21,0.185,Basic Materials,Copper,275330000.0,N/A,N/A,0.73,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,22,0.18,Basic Materials,Copper,267890000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,25,0.18,Basic Materials,Copper,267890000.0,N/A,N/A,0.71,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,26,0.175,Basic Materials,Copper,260450000.0,N/A,N/A,0.69,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,27,0.16,Basic Materials,Copper,238120000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,28,0.16,Basic Materials,Copper,238120000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,1,29,0.165,Basic Materials,Copper,245560000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,1,0.165,Basic Materials,Copper,296660000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,2,0.16,Basic Materials,Copper,287670000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,3,0.16,Basic Materials,Copper,287670000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,4,0.155,Basic Materials,Copper,278680000.0,N/A,N/A,0.61,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,5,0.155,Basic Materials,Copper,278680000.0,N/A,N/A,0.61,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,8,0.16,Basic Materials,Copper,287670000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,9,0.165,Basic Materials,Copper,296660000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,9,0.165,Basic Materials,Copper,296660000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,10,0.165,Basic Materials,Copper,296660000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,11,0.17,Basic Materials,Copper,305650000.0,N/A,N/A,0.67,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,12,0.17,Basic Materials,Copper,305650000.0,N/A,N/A,0.67,N/A,0.0,N/A
Nevada Copper Corp.,NCU,2021,2,16,0.215,Basic Materials,Copper,386560000.0,N/A,N/A,0.85,N/A,0.0,N/A
