Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
New Gold Inc.,NGD,2021,1,6,2.95,Basic Materials,Gold,2000000000.0,N/A,44.0,2.36,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,7,2.88,Basic Materials,Gold,1950000000.0,N/A,44.0,2.3,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,8,2.72,Basic Materials,Gold,1840000000.0,N/A,45.4,2.17,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,11,2.64,Basic Materials,Gold,1790000000.0,N/A,45.4,2.11,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,12,2.63,Basic Materials,Gold,1780000000.0,N/A,45.4,2.1,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,13,2.55,Basic Materials,Gold,1720000000.0,N/A,45.4,2.04,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,14,2.59,Basic Materials,Gold,1750000000.0,N/A,45.4,2.07,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,15,2.47,Basic Materials,Gold,1670000000.0,N/A,41.0,1.97,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,18,2.47,Basic Materials,Gold,1670000000.0,N/A,38.8,1.97,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,19,2.43,Basic Materials,Gold,1640000000.0,N/A,38.8,1.94,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,20,2.5,Basic Materials,Gold,1690000000.0,N/A,19.09,2.0,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,21,2.46,Basic Materials,Gold,1660000000.0,N/A,19.8,1.96,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,22,2.43,Basic Materials,Gold,1640000000.0,N/A,39.6,1.94,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,25,2.42,Basic Materials,Gold,1640000000.0,N/A,19.8,1.93,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,26,2.41,Basic Materials,Gold,1630000000.0,N/A,19.8,1.92,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,27,2.35,Basic Materials,Gold,1590000000.0,N/A,19.8,1.88,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,28,2.44,Basic Materials,Gold,1650000000.0,N/A,19.8,1.95,N/A,0.0,N/A
New Gold Inc.,NGD,2021,1,29,2.42,Basic Materials,Gold,1640000000.0,N/A,19.8,1.93,N/A,0.0,N/A
New Gold Inc.,NGD,2021,2,1,2.64,Basic Materials,Gold,1790000000.0,N/A,19.8,2.11,N/A,0.0,N/A
New Gold Inc.,NGD,2021,2,2,2.44,Basic Materials,Gold,1650000000.0,N/A,19.8,1.95,N/A,0.0,N/A
New Gold Inc.,NGD,2021,2,3,2.39,Basic Materials,Gold,1620000000.0,N/A,19.8,1.91,N/A,0.0,N/A
New Gold Inc.,NGD,2021,2,4,2.21,Basic Materials,Gold,1490000000.0,N/A,19.8,1.77,N/A,0.0,N/A
New Gold Inc.,NGD,2021,2,5,2.35,Basic Materials,Gold,1590000000.0,N/A,19.8,1.88,N/A,0.0,N/A
