Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,6,13.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,7,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,8,14.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,11,14.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,12,14.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,13,14.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,14,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,15,14.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,18,14.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,19,14.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,20,14.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,21,14.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,22,14.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,25,14.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,26,14.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,27,14.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,28,14.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,1,29,14.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,1,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,3,14.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,4,14.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,5,14.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,8,14.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,9,14.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,10,14.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,11,14.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,12,14.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,16,14.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,17,14.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,18,14.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,19,14.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,22,14.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,23,14.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,2,24,14.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
