Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Obsidian Energy Ltd.,OBE,2021,1,6,1.08,Energy,Oil & Gas E&P,79400000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,7,1.19,Energy,Oil & Gas E&P,87480000.0,N/A,0.0,0.27,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,8,1.33,Energy,Oil & Gas E&P,97780000.0,N/A,0.0,0.3,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,11,1.21,Energy,Oil & Gas E&P,88950000.0,N/A,0.0,0.28,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,12,1.25,Energy,Oil & Gas E&P,91900000.0,N/A,0.0,0.29,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,13,1.19,Energy,Oil & Gas E&P,87480000.0,N/A,0.0,0.27,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,14,1.34,Energy,Oil & Gas E&P,98510000.0,N/A,0.0,0.31,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,15,1.29,Energy,Oil & Gas E&P,94840000.0,N/A,0.0,0.29,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,18,1.24,Energy,Oil & Gas E&P,94840000.0,N/A,0.0,0.28,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,19,1.18,Energy,Oil & Gas E&P,90250000.0,N/A,0.0,0.27,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,20,1.17,Energy,Oil & Gas E&P,86010000.0,N/A,0.0,0.27,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,21,1.11,Energy,Oil & Gas E&P,81600000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,22,1.1,Energy,Oil & Gas E&P,80870000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,25,1.14,Energy,Oil & Gas E&P,83810000.0,N/A,0.0,0.26,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,26,1.12,Energy,Oil & Gas E&P,82340000.0,N/A,0.0,0.26,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,27,1.12,Energy,Oil & Gas E&P,82340000.0,N/A,0.0,0.26,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,28,1.09,Energy,Oil & Gas E&P,80130000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,1,29,1.08,Energy,Oil & Gas E&P,79400000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,1,1.11,Energy,Oil & Gas E&P,79400000.0,N/A,0.0,0.25,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,2,1.12,Energy,Oil & Gas E&P,80110000.0,N/A,0.0,0.26,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,3,1.2,Energy,Oil & Gas E&P,88220000.0,N/A,0.0,0.27,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,4,1.21,Energy,Oil & Gas E&P,88950000.0,N/A,0.0,0.28,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,5,1.21,Energy,Oil & Gas E&P,88950000.0,N/A,0.0,0.28,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,8,1.28,Energy,Oil & Gas E&P,94100000.0,N/A,0.0,0.29,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,9,1.3,Energy,Oil & Gas E&P,95570000.0,N/A,0.0,0.3,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,9,1.3,Energy,Oil & Gas E&P,95570000.0,N/A,0.0,0.3,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,10,1.27,Energy,Oil & Gas E&P,93370000.0,N/A,0.0,0.29,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,11,1.26,Energy,Oil & Gas E&P,92630000.0,N/A,0.0,0.29,N/A,0.0,N/A
Obsidian Energy Ltd.,OBE,2021,2,12,1.29,Energy,Oil & Gas E&P,94840000.0,N/A,0.0,0.29,N/A,0.0,N/A
