Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
OceanaGold Corporation,OGC,2021,1,6,2.62,Basic Materials,Gold,1840000000.0,N/A,-0.34,1.15,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,7,2.63,Basic Materials,Gold,1850000000.0,N/A,-0.36,1.16,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,8,2.52,Basic Materials,Gold,1770000000.0,N/A,-0.36,1.11,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,11,2.4,Basic Materials,Gold,1690000000.0,N/A,-0.36,1.06,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,12,2.34,Basic Materials,Gold,1650000000.0,N/A,-0.36,1.03,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,13,2.38,Basic Materials,Gold,1680000000.0,N/A,-0.36,1.05,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,14,2.34,Basic Materials,Gold,1650000000.0,N/A,-0.36,1.03,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,15,2.27,Basic Materials,Gold,1600000000.0,N/A,-0.32,1.0,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,18,2.22,Basic Materials,Gold,1560000000.0,N/A,-0.31,0.98,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,1,19,2.32,Basic Materials,Gold,1630000000.0,N/A,-0.31,1.02,N/A,0.0,N/A
