Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Orvana Minerals Corp.,ORV,2021,1,6,0.36,Basic Materials,Other Precious Metals & Mining,49180000.0,N/A,N/A,0.69,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,7,0.36,Basic Materials,Other Precious Metals & Mining,49180000.0,N/A,N/A,0.69,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,8,0.34,Basic Materials,Other Precious Metals & Mining,46450000.0,N/A,N/A,0.66,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,11,0.345,Basic Materials,Other Precious Metals & Mining,47130000.0,N/A,N/A,0.66,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,12,0.335,Basic Materials,Other Precious Metals & Mining,45770000.0,N/A,N/A,0.65,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,13,0.32,Basic Materials,Other Precious Metals & Mining,43720000.0,N/A,N/A,0.62,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,14,0.33,Basic Materials,Other Precious Metals & Mining,45090000.0,N/A,N/A,0.64,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,15,0.325,Basic Materials,Other Precious Metals & Mining,44400000.0,N/A,N/A,0.63,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,18,0.315,Basic Materials,Other Precious Metals & Mining,44400000.0,N/A,N/A,0.61,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,19,0.315,Basic Materials,Other Precious Metals & Mining,43040000.0,N/A,N/A,0.61,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,20,0.325,Basic Materials,Other Precious Metals & Mining,44400000.0,N/A,N/A,0.63,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,21,0.33,Basic Materials,Other Precious Metals & Mining,45090000.0,N/A,N/A,0.64,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,22,0.31,Basic Materials,Other Precious Metals & Mining,42350000.0,N/A,N/A,0.6,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,25,0.31,Basic Materials,Other Precious Metals & Mining,42350000.0,N/A,N/A,0.6,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,26,0.32,Basic Materials,Other Precious Metals & Mining,43720000.0,N/A,N/A,0.62,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,27,0.31,Basic Materials,Other Precious Metals & Mining,42350000.0,N/A,N/A,0.6,N/A,0.0,N/A
Orvana Minerals Corp.,ORV,2021,1,28,0.33,Basic Materials,Other Precious Metals & Mining,45090000.0,N/A,N/A,0.64,N/A,0.0,N/A
