Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Open Text Corporation,OTEX,2021,1,6,56.88,Technology,Software—Application,15490000000,58.64,N/A,3.79,0.0178,0.7275,218.3588131
Open Text Corporation,OTEX,2021,1,7,56.69,Technology,Software—Application,15440000000,58.44,N/A,3.78,0.0182,0.7275,216.9546258
Open Text Corporation,OTEX,2021,1,8,57.1,Technology,Software—Application,15750000000,58.87,N/A,3.8,0.0182,0.7275,219.7073267
Open Text Corporation,OTEX,2021,1,11,56.55,Technology,Software—Application,15550000000,46.99,N/A,3.02,0.0181,0.7275,139.3868972
Open Text Corporation,OTEX,2021,1,12,56.54,Technology,Software—Application,15400000000.0,58.29,N/A,3.77,0.0183,0.7275,215.80408524010605
Open Text Corporation,OTEX,2021,1,13,57.44,Technology,Software—Application,15650000000.0,59.22,N/A,3.82,0.0183,0.7275,222.15496415594617
Open Text Corporation,OTEX,2021,1,14,58.61,Technology,Software—Application,15960000000.0,60.42,N/A,3.9,0.0183,0.7275,231.4033192575862
Open Text Corporation,OTEX,2021,1,15,58.84,Technology,Software—Application,16030000000.000002,60.66,N/A,3.92,0.018000000000000002,0.7275,233.58271119842829
Open Text Corporation,OTEX,2021,1,18,58.92,Technology,Software—Application,16030000000.000002,60.74,N/A,3.92,0.0175,0.7275,234.0057002457002
Open Text Corporation,OTEX,2021,1,19,59.42,Technology,Software—Application,16160000000.0,61.26,N/A,3.96,0.0175,0.7275,238.41729729729727
Open Text Corporation,OTEX,2021,1,20,60.1,Technology,Software—Application,16370000000.000002,61.96,N/A,4.0,0.0175,0.7275,243.57739557739558
Open Text Corporation,OTEX,2021,1,21,59.37,Technology,Software—Application,16170000000.000002,61.21,N/A,3.95,0.0174,0.7275,237.64448594456456
Open Text Corporation,OTEX,2021,1,22,59.59,Technology,Software—Application,16230000000.0,61.43,N/A,3.97,0.0174,0.7275,239.7062119127187
Open Text Corporation,OTEX,2021,1,25,59.39,Technology,Software—Application,16180000000.0,61.23,N/A,3.95,0.0173,0.7275,237.74550280153343
Open Text Corporation,OTEX,2021,1,26,59.28,Technology,Software—Application,16149999999.999998,61.11,N/A,3.95,0.0174,0.7275,237.25624139964614
Open Text Corporation,OTEX,2021,1,27,59.0,Technology,Software—Application,16070000000.0,60.82,N/A,3.93,0.0174,0.7275,234.93473560055043
Open Text Corporation,OTEX,2021,1,28,59.32,Technology,Software—Application,16160000000.0,61.15,N/A,3.95,0.0175,0.7275,237.38820638820638
Open Text Corporation,OTEX,2021,1,29,57.28,Technology,Software—Application,15600000000.0,59.05,N/A,3.81,0.018000000000000002,0.7275,221.0024557956778
Open Text Corporation,OTEX,2021,2,1,59.03,Technology,Software—Application,16079999999.999998,60.86,N/A,3.93,0.018000000000000002,0.7275,234.9506876227898
Open Text Corporation,OTEX,2021,2,1,59.03,Technology,Software—Application,16079999999.999998,60.86,N/A,3.93,0.0175,0.7275,235.06614250614248
Open Text Corporation,OTEX,2021,2,2,59.81,Technology,Software—Application,16290000000.0,61.66,N/A,3.98,0.0175,0.7275,241.18604422604417
Open Text Corporation,OTEX,2021,2,3,60.18,Technology,Software—Application,16390000000.0,62.04,N/A,4.01,0.0175,0.7275,244.50162162162158
Open Text Corporation,OTEX,2021,2,4,60.98,Technology,Software—Application,16610000000.0,62.87,N/A,4.06,0.0173,0.7275,250.91143222254982
Open Text Corporation,OTEX,2021,2,5,62.24,Technology,Software—Application,16950000000.0,64.16,N/A,4.14,0.0173,0.7275,261.10527867885577
Open Text Corporation,OTEX,2021,2,8,62.76,Technology,Software—Application,17120000000.000002,189.61,N/A,4.27,0.0169,2.1958,796.1792703313994
Open Text Corporation,OTEX,2021,2,9,62.48,Technology,Software—Application,17040000000.0,188.76,N/A,4.25,N/A,2.1958,802.23
Open Text Corporation,OTEX,2021,2,9,62.48,Technology,Software—Application,17040000000.0,188.76,N/A,4.25,N/A,2.1958,802.23
Open Text Corporation,OTEX,2021,2,10,62.15,Technology,Software—Application,16950000000.0,187.76,N/A,4.23,N/A,2.1958,794.2248000000001
Open Text Corporation,OTEX,2021,2,11,61.31,Technology,Software—Application,16719999999.999998,185.23,N/A,4.17,N/A,2.1958,772.4091
Open Text Corporation,OTEX,2021,2,12,60.93,Technology,Software—Application,16620000000.000002,184.08,N/A,4.15,N/A,2.1958,763.9320000000001
Open Text Corporation,OTEX,2021,2,16,60.04,Technology,Software—Application,16379999999.999998,181.39,N/A,4.09,N/A,2.1958,741.8851
Open Text Corporation,OTEX,2021,2,17,59.64,Technology,Software—Application,16270000000.0,180.18,N/A,4.06,N/A,2.1958,731.5308
Open Text Corporation,OTEX,2021,2,18,59.42,Technology,Software—Application,16210000000.0,179.52,N/A,4.05,0.0171,2.1958,714.8323665322978
Open Text Corporation,OTEX,2021,2,19,58.92,Technology,Software—Application,16070000000.0,178.01,N/A,4.01,0.0172,2.1958,701.7499999999999
Open Text Corporation,OTEX,2021,2,22,57.53,Technology,Software—Application,15690000000.0,173.81,N/A,3.92,0.0173,2.1958,669.7485500835544
Open Text Corporation,OTEX,2021,2,23,56.7,Technology,Software—Application,15470000000.0,171.3,N/A,3.86,0.0177,2.1958,649.7179915495726
Open Text Corporation,OTEX,2021,2,24,57.16,Technology,Software—Application,15590000000.0,172.69,N/A,3.89,0.0177,2.1958,660.0806721037634
Open Text Corporation,OTEX,2021,2,25,56.93,Technology,Software—Application,15530000000.0,171.99,N/A,3.88,0.0177,2.1958,655.7150437260489
Open Text Corporation,OTEX,2021,2,26,56.68,Technology,Software—Application,15460000000.0,171.24,N/A,3.86,0.0179,2.1958,649.3628057765989
Open Text Corporation,OTEX,2021,3,1,57.89,Technology,Software—Application,15790000000.0,174.89,N/A,3.94,0.018000000000000002,2.1958,676.8827111984282
Open Text Corporation,OTEX,2021,3,2,58.08,Technology,Software—Application,15840000000.0,175.47,N/A,3.95,0.0176,2.1958,681.1188089622641
Open Text Corporation,OTEX,2021,3,3,57.43,Technology,Software—Application,15670000000.0,173.5,N/A,3.91,0.0178,2.1958,666.520927490666
Open Text Corporation,OTEX,2021,3,4,56.43,Technology,Software—Application,15390000000.0,170.48,N/A,3.84,0.0178,2.1958,643.1943407349185
Open Text Corporation,OTEX,2021,3,5,57.36,Technology,Software—Application,15650000000.0,173.29,N/A,3.9,0.0177,2.1958,664.0768399331826
Open Text Corporation,OTEX,2021,3,8,57.15,Technology,Software—Application,15590000000.0,172.66,N/A,3.89,0.0177,2.1958,659.9660017686941
