Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Pan American Silver Corp.,PAAS,2021,1,6,48.21,Basic Materials,Silver,10130000000.0,169.75,N/A,4.14,0.0075,0.6379,697.5334987593052
Pan American Silver Corp.,PAAS,2021,1,7,48.53,Basic Materials,Silver,10200000000.0,170.88,N/A,4.17,0.0076,0.6379,707.1949186184993
Pan American Silver Corp.,PAAS,2021,1,8,45.03,Basic Materials,Silver,9460000000.0,158.56,N/A,3.87,0.0075,0.6379,609.0592555831265
Pan American Silver Corp.,PAAS,2021,1,11,43.72,Basic Materials,Silver,9190000000.0,153.94,N/A,3.76,0.008100000000000001,0.6379,574.1636742386668
Pan American Silver Corp.,PAAS,2021,1,12,43.23,Basic Materials,Silver,9090000000.0,152.22,N/A,3.71,0.0083,0.6379,560.0874739660815
Pan American Silver Corp.,PAAS,2021,1,13,40.67,Basic Materials,Silver,8550000000.000001,143.2,N/A,3.49,0.0084,0.6379,495.6049186830623
Pan American Silver Corp.,PAAS,2021,1,14,39.4,Basic Materials,Silver,8279999999.999999,138.73,N/A,3.39,0.009000000000000001,0.6379,466.09980178394454
Pan American Silver Corp.,PAAS,2021,1,15,37.36,Basic Materials,Silver,7850000000.0,131.55,N/A,3.21,0.009300000000000001,0.6379,418.38452392747445
Pan American Silver Corp.,PAAS,2021,1,18,37.61,Basic Materials,Silver,7900000000.0,132.43,N/A,3.23,0.0098,0.6379,423.5976430976431
Pan American Silver Corp.,PAAS,2021,1,19,37.6,Basic Materials,Silver,7900000000.0,132.39,N/A,3.23,0.0097,0.6379,423.51163711993655
Pan American Silver Corp.,PAAS,2021,1,20,40.24,Basic Materials,Silver,8460000000.000001,141.69,N/A,3.46,0.0097,0.6379,485.5376844607309
Pan American Silver Corp.,PAAS,2021,1,21,38.96,Basic Materials,Silver,8189999999.999999,137.18,N/A,3.35,0.0091,0.6379,455.4087801010802
Pan American Silver Corp.,PAAS,2021,1,22,38.42,Basic Materials,Silver,8070000000.0,135.28,N/A,3.3,0.009399999999999999,0.6379,442.26669308500095
Pan American Silver Corp.,PAAS,2021,1,25,37.95,Basic Materials,Silver,7980000000.0,133.63,N/A,3.26,0.0095,0.6379,431.5342248637939
Pan American Silver Corp.,PAAS,2021,1,26,37.92,Basic Materials,Silver,7970000000.0,133.52,N/A,3.26,0.0096,0.6379,431.13629160063385
Pan American Silver Corp.,PAAS,2021,1,27,36.0,Basic Materials,Silver,7570000000.0,126.76,N/A,3.09,0.0096,0.6379,387.96394611727413
Pan American Silver Corp.,PAAS,2021,1,28,40.06,Basic Materials,Silver,8420000000.0,141.06,N/A,3.44,0.0101,0.6379,480.3944163944164
Pan American Silver Corp.,PAAS,2021,1,29,41.37,Basic Materials,Silver,8690000000.0,145.67,N/A,3.56,0.0088,0.6379,514.0614591593974
Pan American Silver Corp.,PAAS,2021,2,1,46.79,Basic Materials,Silver,9830000000.0,164.75,N/A,4.02,0.0088,0.6379,656.5176447264076
Pan American Silver Corp.,PAAS,2021,2,2,40.3,Basic Materials,Silver,8470000000.000001,141.9,N/A,3.46,0.0078000000000000005,0.6379,487.1740424687438
Pan American Silver Corp.,PAAS,2021,2,3,40.24,Basic Materials,Silver,8460000000.000001,141.69,N/A,3.46,0.009000000000000001,0.6379,485.8745292368682
Pan American Silver Corp.,PAAS,2021,2,4,40.55,Basic Materials,Silver,8520000000.0,142.78,N/A,3.48,0.0091,0.6379,492.39361807551273
Pan American Silver Corp.,PAAS,2021,2,5,40.9,Basic Materials,Silver,8600000000.0,144.01,N/A,3.51,0.0091,0.6379,500.916757506689
Pan American Silver Corp.,PAAS,2021,2,8,42.39,Basic Materials,Silver,8910000000.0,149.26,N/A,3.64,0.0089,0.6379,538.5136287045297
Pan American Silver Corp.,PAAS,2021,2,9,42.0,Basic Materials,Silver,8830000000.0,147.89,N/A,3.61,0.0086,0.6379,529.330656355344
Pan American Silver Corp.,PAAS,2021,2,10,42.24,Basic Materials,Silver,8880000000.0,148.73,N/A,3.63,0.0087,0.6379,535.2333696837513
Pan American Silver Corp.,PAAS,2021,2,11,41.57,Basic Materials,Silver,8740000000.0,146.37,N/A,3.57,0.0086,0.6379,518.0853658536586
Pan American Silver Corp.,PAAS,2021,2,12,42.36,Basic Materials,Silver,8900000000.0,149.15,N/A,3.64,0.0088,0.6379,538.1701030927836
Pan American Silver Corp.,PAAS,2021,2,16,41.57,Basic Materials,Silver,8740000000.0,146.37,N/A,3.57,0.0086,0.6379,518.0853658536586
Pan American Silver Corp.,PAAS,2021,2,17,40.4,Basic Materials,Silver,8490000000.0,142.25,N/A,3.47,0.0088,0.6379,489.3016455194291
Pan American Silver Corp.,PAAS,2021,2,18,40.6,Basic Materials,Silver,8529999999.999999,142.96,N/A,3.49,0.009000000000000001,0.6379,494.4800792864223
Pan American Silver Corp.,PAAS,2021,2,19,41.01,Basic Materials,Silver,8620000000.0,48.42,N/A,3.31,0.0087,0.2588,158.88787548329535
Pan American Silver Corp.,PAAS,2021,2,22,43.72,Basic Materials,Silver,9190000000.0,51.62,N/A,3.53,0.0087,0.2588,180.6469713492614
Pan American Silver Corp.,PAAS,2021,2,23,43.6,Basic Materials,Silver,9140000000.0,51.48,N/A,3.52,0.008199999999999999,0.2588,179.7357667129538
Pan American Silver Corp.,PAAS,2021,2,24,46.04,Basic Materials,Silver,9680000000.0,54.36,N/A,3.72,0.008199999999999999,0.2588,200.57448918865305
Pan American Silver Corp.,PAAS,2021,2,25,44.71,Basic Materials,Silver,9400000000.0,52.79,N/A,3.61,0.0077,0.2588,189.115709040389
Pan American Silver Corp.,PAAS,2021,2,26,42.05,Basic Materials,Silver,8840000000.0,49.65,N/A,3.4,0.008,0.2588,167.4702380952381
Pan American Silver Corp.,PAAS,2021,3,1,40.5,Basic Materials,Silver,8520000000.0,47.82,N/A,3.27,0.0085,0.2588,155.05344571145267
Pan American Silver Corp.,PAAS,2021,3,2,41.8,Basic Materials,Silver,8790000000.0,49.35,N/A,3.38,0.0088,0.2588,165.3479381443299
Pan American Silver Corp.,PAAS,2021,3,3,40.22,Basic Materials,Silver,8460000000.000001,47.49,N/A,3.25,0.0088,0.2588,152.99613402061857
Pan American Silver Corp.,PAAS,2021,3,4,39.17,Basic Materials,Silver,8240000000.0,46.25,N/A,3.16,0.0088,0.2588,144.87509912767646
Pan American Silver Corp.,PAAS,2021,3,5,39.09,Basic Materials,Silver,8220000000.000001,46.15,N/A,3.16,0.0091,0.2588,144.51887820830441
Pan American Silver Corp.,PAAS,2021,3,8,37.66,Basic Materials,Silver,7920000000.0,44.46,N/A,3.04,0.0091,0.2588,133.93955009414327
Pan American Silver Corp.,PAAS,2021,3,9,38.94,Basic Materials,Silver,8189999999.999999,45.97,N/A,3.15,0.009399999999999999,0.2588,143.45700416088764
Pan American Silver Corp.,PAAS,2021,3,10,39.23,Basic Materials,Silver,8250000000.0,46.32,N/A,3.17,0.0091,0.2588,145.51025666435436
