Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,6,13.5,Financial,Asset Management,195100000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,7,13.55,Financial,Asset Management,195820000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,8,13.55,Financial,Asset Management,195820000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,11,13.51,Financial,Asset Management,195250000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,12,13.65,Financial,Asset Management,197270000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,13,13.6,Financial,Asset Management,196550000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,14,13.6,Financial,Asset Management,196550000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,15,13.55,Financial,Asset Management,195820000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,18,13.71,Financial,Asset Management,198140000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,19,13.61,Financial,Asset Management,196690000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,20,13.59,Financial,Asset Management,196400000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,21,13.75,Financial,Asset Management,198720000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,22,13.55,Financial,Asset Management,195820000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,25,13.75,Financial,Asset Management,198720000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,26,14.15,Financial,Asset Management,204500000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,27,14.0,Financial,Asset Management,202330000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,28,13.93,Financial,Asset Management,201320000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canso Credit Trust - Canso Credit Income Fund,PBY-UN,2021,1,29,14.05,Financial,Asset Management,203050000.0,N/A,N/A,N/A,N/A,N/A,N/A
