Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Peyto Exploration & Development Corp.,PEY,2021,1,6,3.18,Energy,Oil & Gas E&P,524480000.0,N/A,0.43,0.33,0.0127,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,7,3.27,Energy,Oil & Gas E&P,539330000.0,N/A,0.43,0.34,0.0126,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,8,3.27,Energy,Oil & Gas E&P,539330000.0,N/A,0.45,0.34,0.0126,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,11,3.35,Energy,Oil & Gas E&P,552520000.0,N/A,0.45,0.35,0.012199999999999999,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,12,3.67,Energy,Oil & Gas E&P,605300000.0,N/A,0.45,0.38,0.012199999999999999,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,13,3.79,Energy,Oil & Gas E&P,625090000.0,N/A,0.45,0.4,0.0109,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,14,4.05,Energy,Oil & Gas E&P,667970000.0,N/A,0.45,0.42,0.0106,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,15,4.13,Energy,Oil & Gas E&P,681170000.0,N/A,0.56,0.43,0.0106,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,18,3.95,Energy,Oil & Gas E&P,651480000.0,N/A,0.56,0.41,0.0097,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,19,3.99,Energy,Oil & Gas E&P,658080000.0,N/A,0.56,0.42,0.0097,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,20,3.99,Energy,Oil & Gas E&P,658080000.0,N/A,0.55,0.42,0.0097,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,21,3.94,Energy,Oil & Gas E&P,649830000.0,N/A,0.55,0.41,0.0097,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,22,3.84,Energy,Oil & Gas E&P,633340000.0,N/A,0.55,0.4,0.01,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,25,3.92,Energy,Oil & Gas E&P,646530000.0,N/A,0.55,0.41,0.0104,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,26,3.8,Energy,Oil & Gas E&P,626740000.0,N/A,0.55,0.4,0.0104,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,27,3.8,Energy,Oil & Gas E&P,626740000.0,N/A,0.56,0.4,0.0105,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,28,3.72,Energy,Oil & Gas E&P,613550000.0,N/A,0.56,0.39,0.0105,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,1,29,3.53,Energy,Oil & Gas E&P,582210000.0,N/A,0.56,0.37,0.0113,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,1,4.0,Energy,Oil & Gas E&P,659730000.0,N/A,0.56,0.42,0.0113,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,2,4.06,Energy,Oil & Gas E&P,669620000.0,N/A,0.56,0.43,0.0113,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,3,4.32,Energy,Oil & Gas E&P,712510000.0,N/A,0.56,0.45,0.009899999999999999,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,4,4.45,Energy,Oil & Gas E&P,733950000.0,N/A,0.56,0.47,0.009300000000000001,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,5,4.77,Energy,Oil & Gas E&P,786730000.0,N/A,0.56,0.5,0.009300000000000001,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,8,5.03,Energy,Oil & Gas E&P,829610000.0,N/A,0.56,0.53,0.0084,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,9,5.06,Energy,Oil & Gas E&P,834560000.0,N/A,0.56,0.53,0.0084,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,10,5.06,Energy,Oil & Gas E&P,834560000.0,N/A,0.56,0.53,0.0079,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,11,5.14,Energy,Oil & Gas E&P,847750000.0,N/A,0.57,0.54,0.0079,N/A,N/A
Peyto Exploration & Development Corp.,PEY,2021,2,12,5.22,Energy,Oil & Gas E&P,860950000.0,N/A,0.57,0.55,0.0079,N/A,N/A
