Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
PHX Energy Services Corp.,PHX,2021,1,6,2.6,Energy,Oil & Gas Drilling,132550000.00000001,N/A,N/A,0.98,0.009399999999999999,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,7,2.48,Energy,Oil & Gas Drilling,126430000.0,N/A,N/A,0.93,0.0096,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,8,2.61,Energy,Oil & Gas Drilling,133060000.0,N/A,N/A,0.98,0.0096,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,11,2.51,Energy,Oil & Gas Drilling,127960000.0,N/A,N/A,0.94,0.0096,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,12,2.6,Energy,Oil & Gas Drilling,132550000.00000001,N/A,N/A,0.98,0.01,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,13,2.67,Energy,Oil & Gas Drilling,136120000.0,N/A,N/A,1.0,0.0096,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,14,2.7,Energy,Oil & Gas Drilling,137650000.0,N/A,N/A,1.02,0.009399999999999999,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,15,2.695,Energy,Oil & Gas Drilling,137390000.0,N/A,N/A,1.01,0.009300000000000001,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,18,2.65,Energy,Oil & Gas Drilling,135100000.0,N/A,N/A,1.0,0.009300000000000001,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,19,2.68,Energy,Oil & Gas Drilling,136630000.0,N/A,N/A,1.01,0.009399999999999999,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,20,2.57,Energy,Oil & Gas Drilling,131020000.00000001,N/A,N/A,0.97,0.009399999999999999,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,21,2.66,Energy,Oil & Gas Drilling,135610000.0,N/A,N/A,1.0,0.0097,0.0,N/A
PHX Energy Services Corp.,PHX,2021,1,22,2.65,Energy,Oil & Gas Drilling,135100000.0,N/A,N/A,1.0,0.009399999999999999,0.0,N/A
