Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,6,15.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,7,15.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,8,14.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,11,14.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,12,14.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,13,14.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,14,14.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,15,14.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,18,14.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,19,14.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,20,14.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,21,14.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,22,14.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,25,14.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,26,14.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,27,14.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,28,14.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,1,29,14.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,1,14.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,1,14.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,2,14.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,3,14.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,4,14.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,5,14.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,8,14.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPROTT PHYSICAL GOLD TRUST USD,PHYS-U,2021,2,9,14.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
