Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sentry Select Primary Metals Corp.,PME,2021,1,6,3.12,Basic Materials,Gold,44610000,2.83,N/A,1.02,N/A,N/A,2.8866
Sentry Select Primary Metals Corp.,PME,2021,1,7,3.1,Basic Materials,Gold,44320000,2.82,N/A,1.02,N/A,N/A,2.8764
Sentry Select Primary Metals Corp.,PME,2021,1,8,2.96,Basic Materials,Gold,42320000,2.69,N/A,0.97,N/A,N/A,2.6093
Sentry Select Primary Metals Corp.,PME,2021,1,11,2.97,Basic Materials,Gold,42460000,2.7,N/A,0.97,N/A,N/A,2.619
Sentry Select Primary Metals Corp.,PME,2021,1,12,2.96,Basic Materials,Gold,42320000,2.69,N/A,0.97,N/A,N/A,2.6093
Sentry Select Primary Metals Corp.,PME,2021,1,13,2.99,Basic Materials,Gold,42750000,2.72,N/A,0.98,N/A,N/A,2.6656
Sentry Select Primary Metals Corp.,PME,2021,1,14,2.99,Basic Materials,Gold,42750000,2.72,N/A,0.98,N/A,N/A,2.6656
Sentry Select Primary Metals Corp.,PME,2021,1,15,2.94,Basic Materials,Gold,42030000,2.67,N/A,0.96,N/A,N/A,2.5632
Sentry Select Primary Metals Corp.,PME,2021,1,18,2.93,Basic Materials,Gold,41890000,2.66,N/A,0.96,N/A,N/A,2.5536
Sentry Select Primary Metals Corp.,PME,2021,1,19,2.96,Basic Materials,Gold,42320000,2.69,N/A,0.97,N/A,N/A,2.6093
Sentry Select Primary Metals Corp.,PME,2021,1,20,3.02,Basic Materials,Gold,43180000,2.74,N/A,0.99,N/A,N/A,2.7126
Sentry Select Primary Metals Corp.,PME,2021,1,20,3.02,Basic Materials,Gold,43180000,2.74,N/A,0.99,N/A,N/A,2.7126
Sentry Select Primary Metals Corp.,PME,2021,1,22,2.95,Basic Materials,Gold,42180000,2.68,N/A,0.97,N/A,N/A,2.5996
Sentry Select Primary Metals Corp.,PME,2021,1,25,2.95,Basic Materials,Gold,42180000,2.68,N/A,0.97,N/A,N/A,2.5996
Sentry Select Primary Metals Corp.,PME,2021,1,26,2.92,Basic Materials,Gold,41750000,2.65,N/A,0.96,N/A,N/A,2.544
Sentry Select Primary Metals Corp.,PME,2021,1,27,2.87,Basic Materials,Gold,41030000,2.61,N/A,0.94,N/A,N/A,2.4534
Sentry Select Primary Metals Corp.,PME,2021,1,28,2.87,Basic Materials,Gold,41030000,2.61,N/A,0.94,N/A,N/A,2.4534
Sentry Select Primary Metals Corp.,PME,2021,1,29,2.94,Basic Materials,Gold,42030000,2.67,N/A,0.96,N/A,N/A,2.5632
Sentry Select Primary Metals Corp.,PME,2021,2,1,3.04,Basic Materials,Gold,43460000,2.76,N/A,1,N/A,N/A,2.76
Sentry Select Primary Metals Corp.,PME,2021,2,2,2.94,Basic Materials,Gold,42030000,2.67,N/A,0.96,N/A,N/A,2.5632
Sentry Select Primary Metals Corp.,PME,2021,2,3,2.99,Basic Materials,Gold,42750000,2.72,N/A,0.98,N/A,N/A,2.6656
Sentry Select Primary Metals Corp.,PME,2021,2,4,3,Basic Materials,Gold,42890000,2.72,N/A,0.98,N/A,N/A,2.6656
Sentry Select Primary Metals Corp.,PME,2021,2,5,2.97,Basic Materials,Gold,42460000,2.7,N/A,0.97,N/A,N/A,2.619
Sentry Select Primary Metals Corp.,PME,2021,2,8,3,Basic Materials,Gold,42890000,2.72,N/A,0.98,N/A,N/A,2.6656
Sentry Select Primary Metals Corp.,PME,2021,2,9,2.97,Basic Materials,Gold,42460000,2.7,N/A,0.97,N/A,N/A,2.619
Sentry Select Primary Metals Corp.,PME,2021,2,9,2.97,Basic Materials,Gold,42460000,2.7,N/A,0.97,N/A,N/A,2.619
Sentry Select Primary Metals Corp.,PME,2021,2,10,2.96,Basic Materials,Gold,42320000,2.69,N/A,0.97,N/A,N/A,2.6093
Sentry Select Primary Metals Corp.,PME,2021,2,11,2.92,Basic Materials,Gold,41750000,2.65,N/A,0.96,N/A,N/A,2.544
Sentry Select Primary Metals Corp.,PME,2021,2,12,2.91,Basic Materials,Gold,41610000,2.64,N/A,0.95,N/A,N/A,2.508
Sentry Select Primary Metals Corp.,PME,2021,2,16,2.91,Basic Materials,Gold,41610000,2.64,N/A,0.95,N/A,N/A,2.508
Sentry Select Primary Metals Corp.,PME,2021,2,17,2.83,Basic Materials,Gold,40460000,2.57,N/A,0.93,N/A,N/A,2.3901
Sentry Select Primary Metals Corp.,PME,2021,2,18,2.75,Basic Materials,Gold,39320000.0,2.5,N/A,0.9,N/A,N/A,2.25
Sentry Select Primary Metals Corp.,PME,2021,2,19,2.73,Basic Materials,Gold,39030000.0,2.48,N/A,0.9,N/A,N/A,2.232
Sentry Select Primary Metals Corp.,PME,2021,2,22,2.84,Basic Materials,Gold,40600000.0,2.58,N/A,0.93,N/A,N/A,2.3994
Sentry Select Primary Metals Corp.,PME,2021,2,23,2.76,Basic Materials,Gold,39460000.0,2.51,N/A,0.91,N/A,N/A,2.2841
Sentry Select Primary Metals Corp.,PME,2021,2,24,2.81,Basic Materials,Gold,40180000.0,2.55,N/A,0.92,N/A,N/A,2.346
Sentry Select Primary Metals Corp.,PME,2021,2,25,2.71,Basic Materials,Gold,38750000.0,2.46,N/A,0.89,N/A,N/A,2.1894
