Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Profound Medical Corp.,PRN,2021,1,6,30.88,Healthcare,Medical Devices,606050000.0,N/A,N/A,4.87,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,7,31.47,Healthcare,Medical Devices,617630000.0,N/A,N/A,4.96,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,8,31.5,Healthcare,Medical Devices,618220000.0,N/A,N/A,4.96,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,11,31.8,Healthcare,Medical Devices,624110000.0,N/A,N/A,5.01,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,12,30.77,Healthcare,Medical Devices,603890000.0,N/A,N/A,4.85,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,13,30.67,Healthcare,Medical Devices,601930000.0,N/A,N/A,4.83,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,14,30.74,Healthcare,Medical Devices,603300000.0,N/A,N/A,4.84,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,15,31.82,Healthcare,Medical Devices,624500000.0,N/A,N/A,5.01,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,18,31.18,Healthcare,Medical Devices,611940000.0,N/A,N/A,4.91,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,19,30.31,Healthcare,Medical Devices,594860000.0,N/A,N/A,4.78,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,20,32.24,Healthcare,Medical Devices,632740000.0,N/A,N/A,5.08,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,21,33.5,Healthcare,Medical Devices,657470000.0,N/A,N/A,5.28,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,22,33.0,Healthcare,Medical Devices,647660000.0,N/A,N/A,5.2,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,25,34.14,Healthcare,Medical Devices,670030000.0,N/A,N/A,5.38,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,26,34.65,Healthcare,Medical Devices,670030000.0,N/A,N/A,5.46,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,27,33.69,Healthcare,Medical Devices,680040000.0,N/A,N/A,5.31,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,28,34.3,Healthcare,Medical Devices,673170000.0,N/A,N/A,5.41,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,1,29,33.34,Healthcare,Medical Devices,654330000.0,N/A,N/A,5.25,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,2,1,34.91,Healthcare,Medical Devices,685140000.0,N/A,N/A,5.5,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,2,2,32.92,Healthcare,Medical Devices,646090000.0,N/A,N/A,5.19,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,2,3,32.49,Healthcare,Medical Devices,637650000.0,N/A,N/A,5.12,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,2,4,35.33,Healthcare,Medical Devices,693390000.0,N/A,N/A,5.57,N/A,0.0,N/A
Profound Medical Corp.,PRN,2021,2,5,35.63,Healthcare,Medical Devices,699270000.0,N/A,N/A,5.62,N/A,0.0,N/A
