Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Pulse Seismic Inc.,PSD,2021,1,6,1.02,Energy,Oil & Gas Equipment & Services,54870000.0,N/A,N/A,2.2,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,7,1.03,Energy,Oil & Gas Equipment & Services,55950000.0,N/A,N/A,2.22,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,8,1.03,Energy,Oil & Gas Equipment & Services,55950000.0,N/A,N/A,2.22,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,11,1.03,Energy,Oil & Gas Equipment & Services,55410000.0,N/A,N/A,2.22,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,12,1.05,Energy,Oil & Gas Equipment & Services,56480000.0,N/A,N/A,2.27,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,13,1.07,Energy,Oil & Gas Equipment & Services,57560000.0,N/A,N/A,2.31,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,14,1.22,Energy,Oil & Gas Equipment & Services,65629999.99999999,N/A,N/A,2.63,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,15,1.19,Energy,Oil & Gas Equipment & Services,64010000.00000001,N/A,N/A,2.57,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,18,1.17,Energy,Oil & Gas Equipment & Services,62940000.0,N/A,N/A,2.53,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,19,1.21,Energy,Oil & Gas Equipment & Services,65090000.0,N/A,N/A,2.61,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,20,1.19,Energy,Oil & Gas Equipment & Services,64010000.00000001,N/A,N/A,2.57,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,21,1.12,Energy,Oil & Gas Equipment & Services,60250000.0,N/A,N/A,2.42,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,22,1.11,Energy,Oil & Gas Equipment & Services,59710000.0,N/A,N/A,2.4,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,25,1.13,Energy,Oil & Gas Equipment & Services,60790000.0,N/A,N/A,2.44,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,26,1.17,Energy,Oil & Gas Equipment & Services,60790000.0,N/A,N/A,2.53,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,27,1.12,Energy,Oil & Gas Equipment & Services,62940000.0,N/A,N/A,2.42,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,28,1.16,Energy,Oil & Gas Equipment & Services,62400000.0,N/A,N/A,2.51,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,1,29,1.15,Energy,Oil & Gas Equipment & Services,61860000.0,N/A,N/A,2.48,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,2,1,1.2,Energy,Oil & Gas Equipment & Services,64550000.0,N/A,N/A,2.59,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,2,2,1.16,Energy,Oil & Gas Equipment & Services,62400000.0,N/A,N/A,2.51,N/A,0.0,N/A
Pulse Seismic Inc.,PSD,2021,2,3,1.2,Energy,Oil & Gas Equipment & Services,64550000.0,N/A,N/A,2.59,N/A,0.0,N/A
