Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Pason Systems Inc.,PSI,2021,1,6,8.53,Energy,Oil & Gas Equipment & Services,708750000.0,38.77,112.5,2.25,0.024700000000000003,2.8182,85.12979408607399
Pason Systems Inc.,PSI,2021,1,7,8.51,Energy,Oil & Gas Equipment & Services,707090000.0,38.68,118.47,2.24,0.023399999999999997,2.8182,84.66210670314638
Pason Systems Inc.,PSI,2021,1,8,8.58,Energy,Oil & Gas Equipment & Services,712900000.0,39.0,118.19,2.26,0.0235,2.8182,86.11626770884219
Pason Systems Inc.,PSI,2021,1,11,8.5,Energy,Oil & Gas Equipment & Services,706260000.0,38.64,118.19,2.24,0.0233,2.8182,84.58282028730576
Pason Systems Inc.,PSI,2021,1,12,8.87,Energy,Oil & Gas Equipment & Services,737000000.0,40.32,118.19,2.34,0.0235,2.8182,92.18251099169515
Pason Systems Inc.,PSI,2021,1,13,8.64,Energy,Oil & Gas Equipment & Services,717890000.0,39.27,118.19,2.28,0.0225,2.8182,87.56537897310514
Pason Systems Inc.,PSI,2021,1,14,8.73,Energy,Oil & Gas Equipment & Services,725370000.0,39.68,118.19,2.3,0.0231,2.8182,89.20340142703549
Pason Systems Inc.,PSI,2021,1,15,8.93,Energy,Oil & Gas Equipment & Services,741980000.0,40.59,121.25,2.35,0.0231,2.8182,93.23282181604928
Pason Systems Inc.,PSI,2021,1,18,8.81,Energy,Oil & Gas Equipment & Services,732010000.0,40.05,148.83,2.32,0.022400000000000003,2.8182,90.88028169014083
Pason Systems Inc.,PSI,2021,1,19,8.87,Energy,Oil & Gas Equipment & Services,737000000.0,40.32,148.83,2.34,0.0227,2.8182,92.25462012320328
