Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sprott Physical Silver Trust,PSLV,2021,1,6,12.22,N/A,N/A,2600000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,7,12.19,N/A,N/A,2590000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,8,11.4,N/A,N/A,2430000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,11,11.27,N/A,N/A,2400000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,12,11.51,N/A,N/A,2450000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,13,11.28,N/A,N/A,2400000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,14,11.48,N/A,N/A,2440000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,15,11.13,N/A,N/A,2370000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,18,11.15,N/A,N/A,2370000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,19,11.37,N/A,N/A,2420000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,20,11.54,N/A,N/A,2460000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,21,11.6,N/A,N/A,2470000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,22,11.43,N/A,N/A,2430000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,25,11.37,N/A,N/A,2420000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,26,11.33,N/A,N/A,2410000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,27,11.22,N/A,N/A,2390000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,1,28,11.85,N/A,N/A,2920000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Sprott Physical Silver Trust,PSLV,2021,1,29,12.23,N/A,N/A,3010000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,2,1,13.38,N/A,N/A,3300000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,2,2,12.51,N/A,N/A,3080000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Silver Trust,PSLV,2021,2,3,12.42,N/A,N/A,3060000000.0,N/A,N/A,N/A,N/A,N/A,N/A
