Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Richelieu Hardware Ltd.,RCH,2021,1,6,33.02,Consumer Cyclical,Furnishings Fixtures & Appliances,1870000000,23.93,1.42,3.38,0.0081,0.1425,80.23350858
Richelieu Hardware Ltd.,RCH,2021,1,7,33.7,Consumer Cyclical,Furnishings Fixtures & Appliances,1900000000.0,24.42,1.42,3.45,0.008100000000000001,0.1425,83.57206626326754
Richelieu Hardware Ltd.,RCH,2021,1,8,34.25,Consumer Cyclical,Furnishings Fixtures & Appliances,1930000000.0,24.82,1.45,3.51,0.0079,0.1425,86.43536065085821
Richelieu Hardware Ltd.,RCH,2021,1,11,34.12,Consumer Cyclical,Furnishings Fixtures & Appliances,1930000000.0,24.72,1.45,3.49,0.0078000000000000005,0.1425,85.6050803730899
Richelieu Hardware Ltd.,RCH,2021,1,12,34.6,Consumer Cyclical,Furnishings Fixtures & Appliances,1950000000.0,25.07,1.45,3.54,0.0078000000000000005,0.1425,88.06092478666402
Richelieu Hardware Ltd.,RCH,2021,1,13,34.35,Consumer Cyclical,Furnishings Fixtures & Appliances,1940000000.0,24.89,1.45,3.52,0.0077,0.1425,86.94333631040985
Richelieu Hardware Ltd.,RCH,2021,1,14,34.0,Consumer Cyclical,Furnishings Fixtures & Appliances,1920000000.0,24.64,1.45,3.48,0.0078000000000000005,0.1425,85.08354832307998
Richelieu Hardware Ltd.,RCH,2021,1,15,34.55,Consumer Cyclical,Furnishings Fixtures & Appliances,1950000000.0,25.04,1.46,3.54,0.0078000000000000005,0.1425,87.95554673546339
Richelieu Hardware Ltd.,RCH,2021,1,18,34.72,Consumer Cyclical,Furnishings Fixtures & Appliances,1960000000.0,25.16,1.48,3.56,0.0077,0.1425,88.88518408256427
Richelieu Hardware Ltd.,RCH,2021,1,19,34.75,Consumer Cyclical,Furnishings Fixtures & Appliances,1960000000.0,25.18,1.48,3.56,0.0077,0.1425,88.95584003175547
Richelieu Hardware Ltd.,RCH,2021,1,20,35.45,Consumer Cyclical,Furnishings Fixtures & Appliances,2000000000.0,25.69,1.48,3.63,0.0077,0.1425,92.54212563262875
Richelieu Hardware Ltd.,RCH,2021,1,21,37.6,Consumer Cyclical,Furnishings Fixtures & Appliances,2120000000.0,27.25,1.48,3.85,0.0075,0.1425,104.13151364764268
Richelieu Hardware Ltd.,RCH,2021,1,22,38.55,Consumer Cyclical,Furnishings Fixtures & Appliances,2180000000.0,25.7,1.42,3.98,0.0070999999999999995,0.1425,101.5648892860689
Richelieu Hardware Ltd.,RCH,2021,1,25,38.93,Consumer Cyclical,Furnishings Fixtures & Appliances,2180000000.0,25.95,1.42,3.95,0.0069,0.1425,101.80007945178271
Richelieu Hardware Ltd.,RCH,2021,1,26,39.66,Consumer Cyclical,Furnishings Fixtures & Appliances,2220000000.0,26.44,1.5,4.02,0.0072,0.1425,105.52899126290706
