Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Score Media and Gaming Inc.,SCR,2021,1,6,1.75,Communication Services,Electronic Gaming & Multimedia,758810000.0,N/A,-1.79,23.97,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,7,1.95,Communication Services,Electronic Gaming & Multimedia,845540000.0,N/A,-2.08,26.71,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,8,2.07,Communication Services,Electronic Gaming & Multimedia,897570000.0,N/A,-2.32,28.36,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,11,2.29,Communication Services,Electronic Gaming & Multimedia,992960000.0,N/A,-2.32,31.37,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,12,2.11,Communication Services,Electronic Gaming & Multimedia,914910000.0,N/A,-2.32,28.9,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,13,2.19,Communication Services,Electronic Gaming & Multimedia,949600000.0,N/A,-2.32,30.0,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,14,2.73,Communication Services,Electronic Gaming & Multimedia,1180000000.0,N/A,-2.32,60.67,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,15,2.92,Communication Services,Electronic Gaming & Multimedia,1270000000.0,N/A,-2.84,64.89,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,18,3.41,Communication Services,Electronic Gaming & Multimedia,1480000000.0,N/A,-2.53,75.78,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,19,3.3,Communication Services,Electronic Gaming & Multimedia,1430000000.0,N/A,-2.53,73.33,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,20,3.36,Communication Services,Electronic Gaming & Multimedia,1460000000.0,N/A,-2.53,74.67,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,21,3.29,Communication Services,Electronic Gaming & Multimedia,1430000000.0,N/A,-2.53,73.11,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,22,3.34,Communication Services,Electronic Gaming & Multimedia,1450000000.0,N/A,-2.53,74.22,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,25,3.12,Communication Services,Electronic Gaming & Multimedia,1350000000.0,N/A,-2.53,69.33,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,26,2.82,Communication Services,Electronic Gaming & Multimedia,1220000000.0,N/A,-2.53,62.67,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,27,2.73,Communication Services,Electronic Gaming & Multimedia,1180000000.0,N/A,-2.53,60.67,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,28,3.31,Communication Services,Electronic Gaming & Multimedia,1440000000.0,N/A,-2.53,73.56,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,1,29,2.94,Communication Services,Electronic Gaming & Multimedia,1270000000.0,N/A,-2.53,65.33,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,2,1,2.94,Communication Services,Electronic Gaming & Multimedia,1270000000.0,N/A,-2.53,65.33,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,2,2,3.03,Communication Services,Electronic Gaming & Multimedia,1310000000.0,N/A,-2.53,67.33,N/A,0.0,N/A
Score Media and Gaming Inc.,SCR,2021,2,3,3.12,Communication Services,Electronic Gaming & Multimedia,1350000000.0,N/A,-2.53,69.33,N/A,0.0,N/A
