Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Shopify Inc.,SHOP,2021,1,6,1376.05,Technology,Software—Application,167760000000.0,849.94,N/A,27.16,N/A,0.0,23084.3704
Shopify Inc.,SHOP,2021,1,7,1470.9,Technology,Software—Application,179320000000.0,908.52,N/A,29.03,N/A,0.0,26374.335600000002
Shopify Inc.,SHOP,2021,1,8,1516.72,Technology,Software—Application,184910000000.0,936.83,N/A,29.94,N/A,0.0,28048.6902
Shopify Inc.,SHOP,2021,1,11,1502.41,Technology,Software—Application,183160000000.0,927.99,N/A,29.65,N/A,0.0,27514.9035
Shopify Inc.,SHOP,2021,1,12,1512.66,Technology,Software—Application,184410000000.0,934.32,N/A,29.86,N/A,0.0,27898.7952
Shopify Inc.,SHOP,2021,1,13,1523.56,Technology,Software—Application,185740000000.0,941.05,N/A,30.07,N/A,0.0,28297.373499999998
Shopify Inc.,SHOP,2021,1,14,1488.68,Technology,Software—Application,181490000000.0,919.51,N/A,29.38,N/A,0.0,27015.2038
Shopify Inc.,SHOP,2021,1,15,1490.95,Technology,Software—Application,181760000000.0,920.91,N/A,29.43,N/A,0.0,27102.381299999997
Shopify Inc.,SHOP,2021,1,18,1517.12,Technology,Software—Application,184960000000.0,937.07,N/A,29.94,N/A,0.0,28055.8758
Shopify Inc.,SHOP,2021,1,19,1494.39,Technology,Software—Application,182180000000.0,923.03,N/A,29.49,N/A,0.0,27220.1547
Shopify Inc.,SHOP,2021,1,20,1517.39,Technology,Software—Application,184990000000.0,937.24,N/A,29.95,N/A,0.0,28070.338
Shopify Inc.,SHOP,2021,1,21,1510.85,Technology,Software—Application,184190000000.0,933.2,N/A,29.82,N/A,0.0,27828.024
Shopify Inc.,SHOP,2021,1,22,1522.54,Technology,Software—Application,185620000000.0,940.42,N/A,30.05,N/A,0.0,28259.621
Shopify Inc.,SHOP,2021,1,25,1536.64,Technology,Software—Application,187330000000.0,949.13,N/A,30.33,N/A,0.0,28787.112899999996
Shopify Inc.,SHOP,2021,1,26,1472.12,Technology,Software—Application,179470000000.0,909.28,N/A,29.06,N/A,0.0,26423.676799999997
Shopify Inc.,SHOP,2021,1,27,1397.7,Technology,Software—Application,170400000000.0,863.31,N/A,27.59,N/A,0.0,23818.722899999997
Shopify Inc.,SHOP,2021,1,28,1434.03,Technology,Software—Application,174830000000.0,885.75,N/A,28.3,N/A,0.0,25066.725000000002
Shopify Inc.,SHOP,2021,1,29,1394.29,Technology,Software—Application,169980000000.0,861.2,N/A,27.52,N/A,0.0,23700.224000000002
Shopify Inc.,SHOP,2021,2,1,1472.45,Technology,Software—Application,179510000000.0,909.48,N/A,29.06,N/A,0.0,26429.4888
Shopify Inc.,SHOP,2021,2,2,1581.32,Technology,Software—Application,192780000000.0,976.73,N/A,31.21,N/A,0.0,30483.743300000002
Shopify Inc.,SHOP,2021,2,3,1562.18,Technology,Software—Application,190450000000.0,964.9,N/A,30.83,N/A,0.0,29747.867
Shopify Inc.,SHOP,2021,2,4,1614.46,Technology,Software—Application,196820000000.0,997.2,N/A,31.86,N/A,0.0,31770.792
Shopify Inc.,SHOP,2021,2,5,1643.85,Technology,Software—Application,200410000000.0,1015.35,N/A,32.44,N/A,0.0,32937.954
Shopify Inc.,SHOP,2021,2,8,1717.94,Technology,Software—Application,209440000000.0,1061.11,N/A,33.91,N/A,0.0,35982.240099999995
Shopify Inc.,SHOP,2021,2,9,1822.99,Technology,Software—Application,222240000000.0,1126.0,N/A,35.98,N/A,0.0,40513.479999999996
Shopify Inc.,SHOP,2021,2,9,1822.99,Technology,Software—Application,222240000000.0,1126.0,N/A,35.98,N/A,0.0,40513.479999999996
Shopify Inc.,SHOP,2021,2,10,1857.34,Technology,Software—Application,226430000000.0,1147.21,N/A,36.66,N/A,0.0,42056.7186
Shopify Inc.,SHOP,2021,2,11,1858.01,Technology,Software—Application,226510000000.0,1147.63,N/A,36.67,N/A,0.0,42083.59210000001
Shopify Inc.,SHOP,2021,2,12,1847.2,Technology,Software—Application,225200000000.0,1140.95,N/A,36.46,N/A,0.0,41599.037000000004
Shopify Inc.,SHOP,2021,2,16,1856.03,Technology,Software—Application,226270000000.0,1146.41,N/A,36.63,N/A,0.0,41992.99830000001
Shopify Inc.,SHOP,2021,2,17,1804.18,Technology,Software—Application,219950000000.0,1114.38,N/A,35.61,N/A,0.0,39683.071800000005
Shopify Inc.,SHOP,2021,2,18,1755.6,Technology,Software—Application,215110000000.0,669.82,N/A,33.44,N/A,0.0,22398.7808
Shopify Inc.,SHOP,2021,2,19,1810.58,Technology,Software—Application,221850000000.0,699.07,N/A,34.66,N/A,0.0,24229.7662
Shopify Inc.,SHOP,2021,2,22,1742.26,Technology,Software—Application,213480000000.0,672.69,N/A,33.35,N/A,0.0,22434.2115
