Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Skeena Resources Limited,SKE,2021,1,6,3.56,Basic Materials,Other Industrial Metals & Mining,771220000.0,N/A,N/A,28.71,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,7,3.57,Basic Materials,Other Industrial Metals & Mining,773390000.0,N/A,N/A,28.79,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,8,3.41,Basic Materials,Other Industrial Metals & Mining,738730000.0,N/A,N/A,27.5,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,11,3.4,Basic Materials,Other Industrial Metals & Mining,736560000.0,N/A,N/A,27.42,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,12,3.61,Basic Materials,Other Industrial Metals & Mining,782050000.0,N/A,N/A,29.11,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,13,3.51,Basic Materials,Other Industrial Metals & Mining,760390000.0,N/A,N/A,28.31,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,14,3.48,Basic Materials,Other Industrial Metals & Mining,753890000.0,N/A,N/A,28.06,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,15,3.2,Basic Materials,Other Industrial Metals & Mining,693230000.0,N/A,N/A,25.81,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,18,3.15,Basic Materials,Other Industrial Metals & Mining,682400000.0,N/A,N/A,25.4,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,19,3.24,Basic Materials,Other Industrial Metals & Mining,701900000.0,N/A,N/A,26.13,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,20,3.37,Basic Materials,Other Industrial Metals & Mining,730060000.0,N/A,N/A,27.18,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,21,3.41,Basic Materials,Other Industrial Metals & Mining,738730000.0,N/A,N/A,27.5,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,22,3.42,Basic Materials,Other Industrial Metals & Mining,740890000.0,N/A,N/A,27.58,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,25,3.25,Basic Materials,Other Industrial Metals & Mining,704060000.0,N/A,N/A,26.21,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,26,3.19,Basic Materials,Other Industrial Metals & Mining,691070000.0,N/A,N/A,25.73,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,27,2.99,Basic Materials,Other Industrial Metals & Mining,647740000.0,N/A,N/A,24.11,N/A,0.0,N/A
Skeena Resources Limited,SKE,2021,1,28,3.15,Basic Materials,Other Industrial Metals & Mining,682400000.0,N/A,N/A,25.4,N/A,0.0,N/A
