Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Superior Plus Corp.,SPB,2021,1,6,12.55,Utilities,Utilities由egulated Gas,2210000000.0,33.56,N/A,2.3,0.0579,1.8947,72.9634180924473
Superior Plus Corp.,SPB,2021,1,7,12.68,Utilities,Utilities由egulated Gas,2230000000.0,33.9,N/A,2.32,0.0574,1.8947,74.3786646491394
Superior Plus Corp.,SPB,2021,1,8,12.7,Utilities,Utilities由egulated Gas,2240000000.0,33.96,N/A,2.32,0.056799999999999996,1.8947,74.55261165783497
Superior Plus Corp.,SPB,2021,1,11,12.91,Utilities,Utilities由egulated Gas,2270000000.0,34.52,N/A,2.36,0.0567,1.8947,77.09586448377024
Superior Plus Corp.,SPB,2021,1,12,13.16,Utilities,Utilities由egulated Gas,2320000000.0,35.19,N/A,2.41,0.0558,1.8947,80.32572456904717
Superior Plus Corp.,SPB,2021,1,13,13.12,Utilities,Utilities由egulated Gas,2310000000.0,35.08,N/A,2.4,0.0547,1.8947,79.82554280838153
Superior Plus Corp.,SPB,2021,1,14,13.16,Utilities,Utilities由egulated Gas,2320000000.0,35.19,N/A,2.41,0.054900000000000004,1.8947,80.39425537965684
Superior Plus Corp.,SPB,2021,1,15,13.02,Utilities,Utilities由egulated Gas,2290000000.0,34.81,N/A,2.38,0.0547,1.8947,78.55105717265575
Superior Plus Corp.,SPB,2021,1,18,12.58,Utilities,Utilities由egulated Gas,2210000000.0,33.64,N/A,2.3,0.0553,1.8947,73.31754003600872
Superior Plus Corp.,SPB,2021,1,19,12.6,Utilities,Utilities由egulated Gas,2220000000.0,33.69,N/A,2.31,0.0572,1.8947,73.61322360953461
Superior Plus Corp.,SPB,2021,1,20,12.62,Utilities,Utilities由egulated Gas,2220000000.0,33.74,N/A,2.31,0.0571,1.8947,73.72944849115505
Superior Plus Corp.,SPB,2021,1,21,12.54,Utilities,Utilities由egulated Gas,2210000000.0,33.53,N/A,2.3,0.0571,1.8947,72.95336297417464
Superior Plus Corp.,SPB,2021,1,22,12.45,Utilities,Utilities由egulated Gas,2190000000.0,33.29,N/A,2.28,0.0574,1.8947,71.78097219595233
Superior Plus Corp.,SPB,2021,1,25,12.44,Utilities,Utilities由egulated Gas,2190000000.0,33.26,N/A,2.28,0.057800000000000004,1.8947,71.6891661939875
Superior Plus Corp.,SPB,2021,1,26,12.47,Utilities,Utilities由egulated Gas,2190000000.0,33.34,N/A,2.28,0.0579,1.8947,71.85480669250401
Superior Plus Corp.,SPB,2021,1,27,12.32,Utilities,Utilities由egulated Gas,2170000000.0,32.94,N/A,2.25,0.057699999999999994,1.8947,70.07185402287982
Superior Plus Corp.,SPB,2021,1,28,12.35,Utilities,Utilities由egulated Gas,2170000000.0,33.02,N/A,2.26,0.0584,1.8947,70.50755857898716
Superior Plus Corp.,SPB,2021,1,29,12.1,Utilities,Utilities由egulated Gas,2130000000.0,32.35,N/A,2.21,0.059500000000000004,1.8947,67.47852760736195
Superior Plus Corp.,SPB,2021,2,1,12.3,Utilities,Utilities由egulated Gas,2160000000.0,32.89,N/A,2.25,0.059500000000000004,1.8947,69.84662576687116
Superior Plus Corp.,SPB,2021,2,2,12.32,Utilities,Utilities由egulated Gas,2170000000.0,32.94,N/A,2.25,0.058499999999999996,1.8947,70.0188946622579
