Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Spark Power Group Inc.,SPG,2021,1,6,1.56,Utilities,Utilities由enewable,83690000.0,37.14,N/A,2.06,N/A,0.0,76.50840000000001
Spark Power Group Inc.,SPG,2021,1,7,1.74,Utilities,Utilities由enewable,93350000.0,41.43,N/A,2.3,N/A,0.0,95.28899999999999
Spark Power Group Inc.,SPG,2021,1,8,1.79,Utilities,Utilities由enewable,96030000.0,42.62,N/A,2.37,N/A,0.0,101.0094
Spark Power Group Inc.,SPG,2021,1,11,1.88,Utilities,Utilities由enewable,100860000.0,44.76,N/A,2.49,N/A,0.0,111.45240000000001
Spark Power Group Inc.,SPG,2021,1,12,1.84,Utilities,Utilities由enewable,96620000.0,43.81,N/A,2.43,N/A,0.0,106.45830000000001
Spark Power Group Inc.,SPG,2021,1,13,1.84,Utilities,Utilities由enewable,98720000.0,43.81,N/A,2.43,N/A,0.0,106.45830000000001
Spark Power Group Inc.,SPG,2021,1,14,1.82,Utilities,Utilities由enewable,97640000.0,43.33,N/A,2.41,N/A,0.0,104.42530000000001
Spark Power Group Inc.,SPG,2021,1,15,1.92,Utilities,Utilities由enewable,103010000.0,45.71,N/A,2.54,N/A,0.0,116.10340000000001
Spark Power Group Inc.,SPG,2021,1,18,1.95,Utilities,Utilities由enewable,104620000.0,46.43,N/A,2.58,N/A,0.0,119.7894
Spark Power Group Inc.,SPG,2021,1,19,2.14,Utilities,Utilities由enewable,114810000.0,50.95,N/A,2.83,N/A,0.0,144.1885
Spark Power Group Inc.,SPG,2021,1,20,2.14,Utilities,Utilities由enewable,114810000.0,50.95,N/A,2.83,N/A,0.0,144.1885
Spark Power Group Inc.,SPG,2021,1,21,2.11,Utilities,Utilities由enewable,113200000.0,50.24,N/A,2.79,N/A,0.0,140.1696
Spark Power Group Inc.,SPG,2021,1,22,2.02,Utilities,Utilities由enewable,108370000.0,48.1,N/A,2.67,N/A,0.0,128.427
Spark Power Group Inc.,SPG,2021,1,25,2.15,Utilities,Utilities由enewable,115350000.0,51.19,N/A,2.84,N/A,0.0,145.37959999999998
Spark Power Group Inc.,SPG,2021,1,26,2.3,Utilities,Utilities由enewable,123390000.0,54.76,N/A,3.04,N/A,0.0,166.47039999999998
Spark Power Group Inc.,SPG,2021,1,27,2.3,Utilities,Utilities由enewable,123390000.0,54.76,N/A,3.04,N/A,0.0,166.47039999999998
