Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,6,7.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,7,7.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,8,7.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,11,7.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,12,7.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,13,7.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,14,7.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,15,7.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,18,7.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Symphony Floating Rate Senior Loan Fund,SSF-UN,2021,1,19,7.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
