Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sierra Wireless Inc.,SW,2021,1,6,19.0,Technology,Communication Equipment,692660000.0,N/A,N/A,2.02,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,7,21.23,Technology,Communication Equipment,773950000.0,N/A,N/A,2.25,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,8,21.45,Technology,Communication Equipment,781970000.0,N/A,N/A,2.28,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,11,20.85,Technology,Communication Equipment,760100000.0,N/A,N/A,2.21,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,12,21.49,Technology,Communication Equipment,783430000.0,N/A,N/A,2.28,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,13,21.11,Technology,Communication Equipment,769580000.0,N/A,N/A,2.24,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,14,23.07,Technology,Communication Equipment,841030000.0,N/A,N/A,2.45,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,15,23.08,Technology,Communication Equipment,841400000.0,N/A,N/A,2.45,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,18,23.29,Technology,Communication Equipment,849050000.0,N/A,N/A,2.47,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,19,23.71,Technology,Communication Equipment,864360000.0,N/A,N/A,2.52,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,20,23.23,Technology,Communication Equipment,846870000.0,N/A,N/A,2.47,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,21,23.31,Technology,Communication Equipment,849780000.0,N/A,N/A,2.47,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,22,27.33,Technology,Communication Equipment,996330000.0,N/A,N/A,2.9,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,25,25.7,Technology,Communication Equipment,936910000.0,N/A,N/A,2.73,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,26,24.76,Technology,Communication Equipment,902640000.0,N/A,N/A,2.63,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,27,25.52,Technology,Communication Equipment,930350000.0,N/A,N/A,2.71,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,28,24.59,Technology,Communication Equipment,896450000.0,N/A,N/A,2.61,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,1,29,23.67,Technology,Communication Equipment,862910000.0,N/A,N/A,2.51,N/A,0.0,N/A
Sierra Wireless Inc.,SW,2021,2,1,24.41,Technology,Communication Equipment,889880000.0,N/A,N/A,2.59,N/A,0.0,N/A
