Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,6,3.05,Consumer Defensive,Packaged Foods,27690000.0,9.5,N/A,0.54,N/A,0.1953,5.130000000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,7,3.1,Consumer Defensive,Packaged Foods,28140000.0,9.66,N/A,0.55,N/A,0.1953,5.313000000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,8,3.12,Consumer Defensive,Packaged Foods,28330000.0,9.72,N/A,0.55,N/A,0.1953,5.346000000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,11,3.08,Consumer Defensive,Packaged Foods,27960000.0,9.6,N/A,0.54,N/A,0.1953,5.184
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,12,3.1,Consumer Defensive,Packaged Foods,28140000.0,9.66,N/A,0.55,N/A,0.1953,5.313000000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,13,3.05,Consumer Defensive,Packaged Foods,27690000.0,9.5,N/A,0.54,N/A,0.1953,5.130000000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,14,3.09,Consumer Defensive,Packaged Foods,28050000.0,9.63,N/A,0.55,N/A,0.1953,5.296500000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,15,3.13,Consumer Defensive,Packaged Foods,28420000.0,9.75,N/A,0.55,N/A,0.1953,5.362500000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,18,3.07,Consumer Defensive,Packaged Foods,27870000.0,9.56,N/A,0.54,N/A,0.1953,5.162400000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,19,3.15,Consumer Defensive,Packaged Foods,28600000.0,9.81,N/A,0.56,N/A,0.1953,5.493600000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,20,3.15,Consumer Defensive,Packaged Foods,28600000.0,9.81,N/A,0.56,N/A,0.1953,5.493600000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,21,3.14,Consumer Defensive,Packaged Foods,28510000.0,9.78,N/A,0.55,N/A,0.1953,5.3790000000000004
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,22,3.19,Consumer Defensive,Packaged Foods,28960000.0,9.94,N/A,0.56,N/A,0.1953,5.566400000000001
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,25,3.35,Consumer Defensive,Packaged Foods,30410000.0,10.44,N/A,0.59,N/A,0.1953,6.159599999999999
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,26,3.26,Consumer Defensive,Packaged Foods,29600000.0,10.16,N/A,0.58,N/A,0.1953,5.892799999999999
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,1,27,3.17,Consumer Defensive,Packaged Foods,28780000.0,9.88,N/A,0.56,N/A,0.1953,5.532800000000001
