Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
StageZero Life Sciences Ltd.,SZLS,2021,1,6,0.71,Healthcare,Diagnostics & Research,42490000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,7,0.73,Healthcare,Diagnostics & Research,43690000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,8,0.73,Healthcare,Diagnostics & Research,43690000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,11,0.77,Healthcare,Diagnostics & Research,46080000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,12,0.77,Healthcare,Diagnostics & Research,46080000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,13,0.92,Healthcare,Diagnostics & Research,55060000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,14,0.9,Healthcare,Diagnostics & Research,53860000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,15,0.93,Healthcare,Diagnostics & Research,55660000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,18,0.9,Healthcare,Diagnostics & Research,53860000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,19,0.83,Healthcare,Diagnostics & Research,49670000.0,N/A,N/A,N/A,N/A,0.0,N/A
StageZero Life Sciences Ltd.,SZLS,2021,1,20,0.83,Healthcare,Diagnostics & Research,49670000.0,N/A,N/A,N/A,N/A,0.0,N/A
