Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Tucows Inc.,TC,2021,1,6,95.14,Technology,Software—Infrastructure,1020000000.0,106.66,N/A,10.04,N/A,0.0,1070.8663999999999
Tucows Inc.,TC,2021,1,7,94.11,Technology,Software—Infrastructure,998490000.0,105.5,N/A,9.93,N/A,0.0,1047.615
Tucows Inc.,TC,2021,1,8,91.7,Technology,Software—Infrastructure,975720000.0,102.8,N/A,9.68,N/A,0.0,995.1039999999999
Tucows Inc.,TC,2021,1,11,91.29,Technology,Software—Infrastructure,966800000.0,102.34,N/A,9.63,N/A,0.0,985.5342000000002
Tucows Inc.,TC,2021,1,12,91.91,Technology,Software—Infrastructure,976240000.0,103.04,N/A,9.7,N/A,0.0,999.4879999999999
Tucows Inc.,TC,2021,1,13,91.22,Technology,Software—Infrastructure,970340000.0,102.26,N/A,9.63,N/A,0.0,984.7638000000002
Tucows Inc.,TC,2021,1,14,91.82,Technology,Software—Infrastructure,979540000.0,102.94,N/A,9.69,N/A,0.0,997.4885999999999
Tucows Inc.,TC,2021,1,15,93.59,Technology,Software—Infrastructure,1000000000.0,104.92,N/A,9.88,N/A,0.0,1036.6096
Tucows Inc.,TC,2021,1,18,92.67,Technology,Software—Infrastructure,973040000.0,103.89,N/A,9.78,N/A,0.0,1016.0441999999999
Tucows Inc.,TC,2021,1,19,92.73,Technology,Software—Infrastructure,1000000000.0,103.96,N/A,9.79,N/A,0.0,1017.7683999999998
Tucows Inc.,TC,2021,1,20,97.71,Technology,Software—Infrastructure,1040000000.0,109.54,N/A,10.31,N/A,0.0,1129.3574
Tucows Inc.,TC,2021,1,21,100.52,Technology,Software—Infrastructure,1070000000.0000001,112.69,N/A,10.61,N/A,0.0,1195.6408999999999
Tucows Inc.,TC,2021,1,22,105.43,Technology,Software—Infrastructure,1110000000.0,118.2,N/A,11.13,N/A,0.0,1315.566
Tucows Inc.,TC,2021,1,25,100.34,Technology,Software—Infrastructure,1060000000.0,112.49,N/A,10.59,N/A,0.0,1191.2691
Tucows Inc.,TC,2021,1,26,100.85,Technology,Software—Infrastructure,1060000000.0,113.06,N/A,10.64,N/A,0.0,1202.9584
Tucows Inc.,TC,2021,1,27,119.91,Technology,Software—Infrastructure,1260000000.0,134.43,N/A,12.65,N/A,0.0,1700.5395
Tucows Inc.,TC,2021,1,28,106.01,Technology,Software—Infrastructure,1100000000.0,118.85,N/A,11.19,N/A,0.0,1329.9315
Tucows Inc.,TC,2021,1,29,103.27,Technology,Software—Infrastructure,1090000000.0,115.77,N/A,10.9,N/A,0.0,1261.893
Tucows Inc.,TC,2021,2,1,103.87,Technology,Software—Infrastructure,1090000000.0,116.45,N/A,10.96,N/A,0.0,1276.2920000000001
Tucows Inc.,TC,2021,2,2,106.58,Technology,Software—Infrastructure,1130000000.0,119.48,N/A,11.25,N/A,0.0,1344.15
Tucows Inc.,TC,2021,2,3,109.09,Technology,Software—Infrastructure,1160000000.0,122.3,N/A,11.51,N/A,0.0,1407.673
Tucows Inc.,TC,2021,2,4,112.36,Technology,Software—Infrastructure,1180000000.0,125.96,N/A,11.86,N/A,0.0,1493.8855999999998
Tucows Inc.,TC,2021,2,5,114.45,Technology,Software—Infrastructure,1210000000.0,128.31,N/A,12.08,N/A,0.0,1549.9848
Tucows Inc.,TC,2021,2,8,113.5,Technology,Software—Infrastructure,1210000000.0,127.24,N/A,11.98,N/A,0.0,1524.3352
Tucows Inc.,TC,2021,2,9,106.18,Technology,Software—Infrastructure,1140000000.0,119.04,N/A,11.21,N/A,0.0,1334.4384000000002
Tucows Inc.,TC,2021,2,9,106.18,Technology,Software—Infrastructure,1140000000.0,119.04,N/A,11.21,N/A,0.0,1334.4384000000002
Tucows Inc.,TC,2021,2,10,105.03,Technology,Software—Infrastructure,1120000000.0,194.5,N/A,10.64,N/A,0.0,2069.48
Tucows Inc.,TC,2021,2,11,102.04,Technology,Software—Infrastructure,1090000000.0,188.96,N/A,10.34,N/A,0.0,1953.8464000000001
Tucows Inc.,TC,2021,2,12,105.13,Technology,Software—Infrastructure,1130000000.0,194.69,N/A,10.66,N/A,0.0,2075.3954
Tucows Inc.,TC,2021,2,16,101.76,Technology,Software—Infrastructure,1080000000.0,188.44,N/A,10.31,N/A,0.0,1942.8164000000002
Tucows Inc.,TC,2021,2,17,103.19,Technology,Software—Infrastructure,1090000000.0,191.09,N/A,10.46,N/A,0.0,1998.8014000000003
Tucows Inc.,TC,2021,2,18,101.69,Technology,Software—Infrastructure,1090000000.0,188.32,N/A,10.31,N/A,0.0,1941.5792000000001
Tucows Inc.,TC,2021,2,19,105.99,Technology,Software—Infrastructure,1130000000.0,196.28,N/A,10.74,N/A,0.0,2108.0472
Tucows Inc.,TC,2021,2,22,105.38,Technology,Software—Infrastructure,1120000000.0,195.15,N/A,10.68,N/A,0.0,2084.202
Tucows Inc.,TC,2021,2,23,103.28,Technology,Software—Infrastructure,1090000000.0,191.26,N/A,10.47,N/A,0.0,2002.4922000000001
Tucows Inc.,TC,2021,2,24,101.16,Technology,Software—Infrastructure,1070000000.0000001,187.33,N/A,10.25,N/A,0.0,1920.1325000000002
Tucows Inc.,TC,2021,2,25,100.4,Technology,Software—Infrastructure,1080000000.0,185.93,N/A,10.18,N/A,0.0,1892.7674
Tucows Inc.,TC,2021,2,26,99.55,Technology,Software—Infrastructure,1050000000.0,184.35,N/A,10.09,N/A,0.0,1860.0915
Tucows Inc.,TC,2021,3,1,108.01,Technology,Software—Infrastructure,1150000000.0,200.02,N/A,10.95,N/A,0.0,2190.219
Tucows Inc.,TC,2021,3,2,107.3,Technology,Software—Infrastructure,1140000000.0,198.7,N/A,10.88,N/A,0.0,2161.856
Tucows Inc.,TC,2021,3,3,108.18,Technology,Software—Infrastructure,1150000000.0,200.33,N/A,10.96,N/A,0.0,2195.6168000000002
Tucows Inc.,TC,2021,3,4,103.77,Technology,Software—Infrastructure,1100000000.0,192.17,N/A,10.52,N/A,0.0,2021.6283999999998
Tucows Inc.,TC,2021,3,5,103.93,Technology,Software—Infrastructure,1120000000.0,192.46,N/A,10.53,N/A,0.0,2026.6037999999999
Tucows Inc.,TC,2021,3,8,104.73,Technology,Software—Infrastructure,1130000000.0,193.94,N/A,10.62,N/A,0.0,2059.6427999999996
Tucows Inc.,TC,2021,3,9,101.8,Technology,Software—Infrastructure,1070000000.0000001,188.52,N/A,10.32,N/A,0.0,1945.5264000000002
Tucows Inc.,TC,2021,3,10,102.71,Technology,Software—Infrastructure,1090000000.0,190.2,N/A,10.41,N/A,0.0,1979.982
