Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
TFI International Inc.,TFII,2021,1,6,66.22,Industrials,Trucking,6180000000.0,17.56,1.72,2.75,0.0176,0.27440000000000003,47.45479559748427
TFI International Inc.,TFII,2021,1,7,67.92,Industrials,Trucking,6340000000.0,18.01,1.72,2.82,0.0175,0.27440000000000003,49.914692874692875
TFI International Inc.,TFII,2021,1,8,70.95,Industrials,Trucking,6620000000.0,18.81,1.78,2.94,0.0171,0.27440000000000003,54.37164487267722
TFI International Inc.,TFII,2021,1,11,70.75,Industrials,Trucking,6610000000.0,18.76,1.78,2.93,0.0163,0.27440000000000003,54.08521105972647
TFI International Inc.,TFII,2021,1,12,68.3,Industrials,Trucking,6380000000.0,18.11,1.78,2.83,0.016399999999999998,0.27440000000000003,50.42434081070445
TFI International Inc.,TFII,2021,1,13,67.34,Industrials,Trucking,6290000000.0,17.86,1.78,2.79,0.017,0.27440000000000003,48.99646017699116
TFI International Inc.,TFII,2021,1,14,66.46,Industrials,Trucking,6200000000.0,17.62,1.78,2.76,0.0172,0.27440000000000003,47.80888714117184
TFI International Inc.,TFII,2021,1,15,66.04,Industrials,Trucking,6170000000.0,17.51,1.78,2.74,0.0175,0.27440000000000003,47.15223587223588
TFI International Inc.,TFII,2021,1,18,65.91,Industrials,Trucking,6150000000.0,17.48,1.78,2.73,0.0176,0.27440000000000003,46.89504716981131
TFI International Inc.,TFII,2021,1,19,65.3,Industrials,Trucking,6100000000.0,17.32,1.78,2.71,0.0176,0.27440000000000003,46.125393081761004
TFI International Inc.,TFII,2021,1,20,65.22,Industrials,Trucking,6090000000.0,17.3,1.71,2.71,0.0178,0.27440000000000003,46.06307722538809
TFI International Inc.,TFII,2021,1,21,66.16,Industrials,Trucking,6180000000.0,17.54,1.71,2.74,0.0178,0.27440000000000003,47.21910001965023
TFI International Inc.,TFII,2021,1,22,65.09,Industrials,Trucking,6080000000.0,17.26,1.71,2.7,0.0175,0.27440000000000003,45.8004914004914
TFI International Inc.,TFII,2021,1,25,86.08,Industrials,Trucking,8039999999.999999,22.83,1.71,3.57,0.0178,0.27440000000000003,80.07771664374138
TFI International Inc.,TFII,2021,1,26,88.66,Industrials,Trucking,8279999999.999999,23.51,2.25,3.68,0.013500000000000002,0.27440000000000003,85.36438085841144
TFI International Inc.,TFII,2021,1,27,84.59,Industrials,Trucking,7900000000.0,22.43,2.26,3.51,0.0131,0.27440000000000003,77.71128220313886
TFI International Inc.,TFII,2021,1,28,85.79,Industrials,Trucking,8010000000.0,22.75,2.26,3.56,0.0137,0.27440000000000003,79.89543257373975
TFI International Inc.,TFII,2021,1,29,84.94,Industrials,Trucking,7930000000.0,22.52,2.26,3.52,0.013500000000000002,0.27440000000000003,78.21450419338923
TFI International Inc.,TFII,2021,2,1,90.42,Industrials,Trucking,8439999999.999999,23.98,2.26,3.75,0.0137,0.27440000000000003,88.70967741935483
TFI International Inc.,TFII,2021,2,2,91.1,Industrials,Trucking,8510000000.0,24.16,2.26,3.78,0.0128,0.27440000000000003,90.17061611374407
TFI International Inc.,TFII,2021,2,3,90.38,Industrials,Trucking,8439999999.999999,23.97,2.26,3.75,0.0127,0.27440000000000003,88.76024488989829
TFI International Inc.,TFII,2021,2,4,92.32,Industrials,Trucking,8620000000.0,24.48,2.26,3.83,0.0128,0.27440000000000003,92.57345971563983
TFI International Inc.,TFII,2021,2,5,91.93,Industrials,Trucking,8580000000.0,24.38,2.26,3.81,0.0126,0.27440000000000003,91.7319770886826
TFI International Inc.,TFII,2021,2,8,93.21,Industrials,Trucking,8700000000.0,24.72,2.26,3.87,0.0126,0.27440000000000003,94.47600237013629
TFI International Inc.,TFII,2021,2,9,100.0,Industrials,Trucking,9340000000.0,33.0,1.93,5.24,0.0124,0.27440000000000003,170.80205452390362
TFI International Inc.,TFII,2021,2,10,101.67,Industrials,Trucking,9490000000.0,33.55,1.98,5.33,0.0116,0.2625,176.77095689996042
TFI International Inc.,TFII,2021,2,11,99.4,Industrials,Trucking,9280000000.0,32.81,2.01,5.18,0.011399999999999999,0.2625,168.0401423769033
TFI International Inc.,TFII,2021,2,12,96.87,Industrials,Trucking,9040000000.0,31.97,2.06,5.05,0.011699999999999999,0.2625,159.58139764752397
TFI International Inc.,TFII,2021,2,16,93.18,Industrials,Trucking,8700000000.0,30.75,2.08,4.64,0.012,0.2625,140.9881422924901
TFI International Inc.,TFII,2021,2,17,89.82,Industrials,Trucking,8390000000.000001,29.64,2.08,4.47,0.0124,0.2625,130.86803634926906
TFI International Inc.,TFII,2021,2,18,89.98,Industrials,Trucking,8400000000.0,29.7,2.08,4.48,0.0129,0.2625,131.3614374568072
TFI International Inc.,TFII,2021,2,19,91.26,Industrials,Trucking,8520000000.0,30.12,2.1,4.54,0.0129,0.2625,135.00325797215916
TFI International Inc.,TFII,2021,2,22,91.38,Industrials,Trucking,8529999999.999999,30.16,2.08,4.77,0.0127,0.2625,142.05905006418485
TFI International Inc.,TFII,2021,2,23,91.5,Industrials,Trucking,8550000000.000001,30.2,2.12,4.77,0.0127,0.2625,142.24745729238668
TFI International Inc.,TFII,2021,2,24,90.86,Industrials,Trucking,8490000000.0,29.99,2.12,4.74,0.0127,0.2625,140.36990224153254
TFI International Inc.,TFII,2021,2,25,91.63,Industrials,Trucking,8560000000.000001,30.24,2.12,4.78,0.0128,0.2625,142.72037914691944
