Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Theratechnologies Inc.,TH,2021,1,6,3.29,Today,Fri,253370000.0,N/A,-49.55,29.64,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,7,3.61,Today,Fri,278020000.0,N/A,-49.55,32.52,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,8,3.83,Today,Fri,294960000.0,N/A,-56.23,34.5,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,11,4.0,Today,Fri,N/A,N/A,-59.68,36.04,N/A,N/A,N/A
Theratechnologies Inc.,TH,2021,1,12,3.39,Today,Fri,261079999.99999997,N/A,-59.68,30.54,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,13,3.32,Today,Fri,255680000.0,N/A,-59.68,29.91,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,14,3.3,Today,Fri,254140000.0,N/A,-59.68,29.73,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,15,3.21,Today,Fri,247210000.0,N/A,-51.64,28.92,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,18,3.13,Today,Fri,241050000.0,N/A,-51.64,28.2,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,19,2.86,Today,Fri,220260000.0,N/A,-51.64,25.77,N/A,0.0,N/A
Theratechnologies Inc.,TH,2021,1,20,3.0,Today,Fri,231040000.0,N/A,-44.41,27.03,N/A,0.0,N/A
