Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Toromont Industries Ltd.,TIH,2021,1,6,85.37,Industrials,Industrial Distribution,7030000000.0,27.47,6.8,4.31,0.0141,0.3859,116.74953160437826
Toromont Industries Ltd.,TIH,2021,1,7,87.53,Industrials,Industrial Distribution,7200000000.0,28.16,6.58,4.42,0.014499999999999999,0.3859,122.68822079842288
Toromont Industries Ltd.,TIH,2021,1,8,87.42,Industrials,Industrial Distribution,7200000000.0,28.13,6.75,4.42,0.014499999999999999,0.3859,122.55751601774273
Toromont Industries Ltd.,TIH,2021,1,11,86.95,Industrials,Industrial Distribution,7160000000.0,27.98,6.74,4.39,0.014199999999999999,0.3859,121.11240386511535
Toromont Industries Ltd.,TIH,2021,1,12,88.96,Industrials,Industrial Distribution,7320000000.0,28.62,6.72,4.49,0.014199999999999999,0.3859,126.70459475448631
Toromont Industries Ltd.,TIH,2021,1,13,88.83,Industrials,Industrial Distribution,7310000000.0,28.58,6.72,4.49,0.0139,0.3859,126.56494723345496
Toromont Industries Ltd.,TIH,2021,1,14,88.35,Industrials,Industrial Distribution,7270000000.0,28.43,6.72,4.46,0.013999999999999999,0.3859,125.04714003944773
Toromont Industries Ltd.,TIH,2021,1,15,87.86,Industrials,Industrial Distribution,7230000000.0,28.27,6.72,4.44,0.013999999999999999,0.3859,123.78579881656806
Toromont Industries Ltd.,TIH,2021,1,18,89.07,Industrials,Industrial Distribution,7330000000.0,28.66,6.75,4.5,0.0141,0.3859,127.17680702100384
Toromont Industries Ltd.,TIH,2021,1,19,88.88,Industrials,Industrial Distribution,7320000000.0,28.6,6.75,4.49,0.0139,0.3859,126.65351612585069
Toromont Industries Ltd.,TIH,2021,1,20,88.97,Industrials,Industrial Distribution,7320000000.0,28.63,6.83,4.49,0.013999999999999999,0.3859,126.77386587771203
Toromont Industries Ltd.,TIH,2021,1,21,88.7,Industrials,Industrial Distribution,7300000000.0,28.54,6.84,4.48,0.0139,0.3859,126.10632212249729
