Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Troilus Gold Corp.,TLG,2021,1,6,1.3,Basic Materials,Other Industrial Metals & Mining,169430000.0,N/A,N/A,5.44,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,7,1.34,Basic Materials,Other Industrial Metals & Mining,174640000.0,N/A,N/A,5.61,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,8,1.24,Basic Materials,Other Industrial Metals & Mining,161610000.0,N/A,N/A,5.19,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,11,1.21,Basic Materials,Other Industrial Metals & Mining,157700000.0,N/A,N/A,5.06,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,12,1.19,Basic Materials,Other Industrial Metals & Mining,155090000.0,N/A,N/A,4.98,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,13,1.15,Basic Materials,Other Industrial Metals & Mining,149880000.0,N/A,N/A,4.81,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,14,1.15,Basic Materials,Other Industrial Metals & Mining,149880000.0,N/A,N/A,4.81,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,15,1.11,Basic Materials,Other Industrial Metals & Mining,144670000.0,N/A,N/A,4.64,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,18,1.09,Basic Materials,Other Industrial Metals & Mining,142060000.0,N/A,N/A,4.56,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,19,1.08,Basic Materials,Other Industrial Metals & Mining,140760000.0,N/A,N/A,4.52,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,20,1.08,Basic Materials,Other Industrial Metals & Mining,140760000.0,N/A,N/A,4.52,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,21,1.09,Basic Materials,Other Industrial Metals & Mining,142060000.0,N/A,N/A,4.56,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,22,1.09,Basic Materials,Other Industrial Metals & Mining,142060000.0,N/A,N/A,4.56,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,25,1.03,Basic Materials,Other Industrial Metals & Mining,134240000.0,N/A,N/A,4.31,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,26,1.02,Basic Materials,Other Industrial Metals & Mining,132940000.0,N/A,N/A,4.27,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,27,0.97,Basic Materials,Other Industrial Metals & Mining,126420000.0,N/A,N/A,4.06,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,28,0.98,Basic Materials,Other Industrial Metals & Mining,127720000.0,N/A,N/A,4.1,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,1,29,1.04,Basic Materials,Other Industrial Metals & Mining,135540000.0,N/A,N/A,4.35,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,1,1.07,Basic Materials,Other Industrial Metals & Mining,139450000.0,N/A,N/A,4.48,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,2,1.07,Basic Materials,Other Industrial Metals & Mining,139450000.0,N/A,N/A,4.48,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,3,1.07,Basic Materials,Other Industrial Metals & Mining,139450000.0,N/A,N/A,4.48,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,4,1.02,Basic Materials,Other Industrial Metals & Mining,132940000.0,N/A,N/A,4.27,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,5,1.1,Basic Materials,Other Industrial Metals & Mining,143360000.0,N/A,N/A,4.6,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,8,1.13,Basic Materials,Other Industrial Metals & Mining,147270000.0,N/A,N/A,4.73,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,9,1.135,Basic Materials,Other Industrial Metals & Mining,147920000.0,N/A,N/A,4.75,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,9,1.135,Basic Materials,Other Industrial Metals & Mining,147920000.0,N/A,N/A,4.75,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,10,1.13,Basic Materials,Other Industrial Metals & Mining,147270000.0,N/A,N/A,4.73,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,11,1.1,Basic Materials,Other Industrial Metals & Mining,143360000.0,N/A,N/A,4.6,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,12,1.07,Basic Materials,Other Industrial Metals & Mining,139450000.0,N/A,N/A,4.48,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,16,1.03,Basic Materials,Other Industrial Metals & Mining,134240000.0,N/A,N/A,4.31,N/A,0.0,N/A
Troilus Gold Corp.,TLG,2021,2,17,0.96,Basic Materials,Other Industrial Metals & Mining,125120000.0,N/A,N/A,4.02,N/A,0.0,N/A
