Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
TMAC Resources Inc.,TMR,2021,1,6,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,7,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,8,2.18,Basic Materials,Gold,284000000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,11,2.185,Basic Materials,Gold,284650000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,12,2.18,Basic Materials,Gold,284000000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,13,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,14,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,15,2.18,Basic Materials,Gold,284000000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,18,2.18,Basic Materials,Gold,284000000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,19,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,20,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,21,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,22,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,25,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,26,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,27,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,28,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,1,29,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,1,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,1,2.19,Basic Materials,Gold,285300000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,2,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,3,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,3,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,3,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,3,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,0.0,N/A
