Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Molson Coors Canada Inc.,TPX-B,2021,1,6,62.37,Consumer Defensive,Beverages—Brewers,13520000000.0,N/A,N/A,0.21,0.050199999999999995,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,7,62.01,Consumer Defensive,Beverages—Brewers,13440000000.0,N/A,N/A,0.21,0.0481,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,8,63.06,Consumer Defensive,Beverages—Brewers,13670000000.0,N/A,N/A,0.21,0.0484,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,11,63.8,Consumer Defensive,Beverages—Brewers,13830000000.0,N/A,N/A,0.22,0.047599999999999996,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,12,66.5,Consumer Defensive,Beverages—Brewers,14410000000.0,N/A,N/A,0.23,0.047,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,13,67.23,Consumer Defensive,Beverages—Brewers,14560000000.0,N/A,N/A,0.23,0.0451,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,14,67.77,Consumer Defensive,Beverages—Brewers,14690000000.0,N/A,N/A,0.23,0.0446,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,15,67.13,Consumer Defensive,Beverages—Brewers,14560000000.0,N/A,N/A,0.23,0.0446,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,18,67.13,Consumer Defensive,Beverages—Brewers,14560000000.0,N/A,N/A,0.23,0.0447,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,19,66.17,Consumer Defensive,Beverages—Brewers,14330000000.0,N/A,N/A,0.22,0.0447,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,20,64.1,Consumer Defensive,Beverages—Brewers,13890000000.0,N/A,N/A,0.22,0.0447,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,21,64.0,Consumer Defensive,Beverages—Brewers,13870000000.0,N/A,N/A,0.22,0.0453,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,22,64.02,Consumer Defensive,Beverages—Brewers,13880000000.0,N/A,N/A,0.22,0.046900000000000004,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,25,65.65,Consumer Defensive,Beverages—Brewers,14250000000.0,N/A,N/A,0.22,0.046900000000000004,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,26,67.48,Consumer Defensive,Beverages—Brewers,14630000000.0,N/A,N/A,0.23,0.045700000000000005,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,27,70.45,Consumer Defensive,Beverages—Brewers,15270000000.0,N/A,N/A,0.24,0.044500000000000005,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,28,67.99,Consumer Defensive,Beverages—Brewers,14730000000.0,N/A,N/A,0.23,0.0426,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,29,66.9,Consumer Defensive,Beverages—Brewers,14510000000.0,N/A,N/A,0.23,0.044800000000000006,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,29,66.9,Consumer Defensive,Beverages—Brewers,14510000000.0,N/A,N/A,0.23,0.044800000000000006,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,1,29,66.9,Consumer Defensive,Beverages—Brewers,14510000000.0,N/A,N/A,0.23,0.044800000000000006,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,2,2,64.0,Consumer Defensive,Beverages—Brewers,13880000000.0,N/A,N/A,0.22,0.044800000000000006,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,2,3,64.0,Consumer Defensive,Beverages—Brewers,13870000000.0,N/A,N/A,0.22,0.046900000000000004,0.4179,N/A
Molson Coors Canada Inc.,TPX-B,2021,2,4,63.23,Consumer Defensive,Beverages—Brewers,13710000000.0,N/A,N/A,0.21,0.046900000000000004,0.4179,N/A
