Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Trillium Therapeutics Inc.,TRIL,2021,1,6,18.21,Healthcare,Biotechnology,1830000000.0,N/A,N/A,11.09,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,7,19.46,Healthcare,Biotechnology,1960000000.0,N/A,N/A,11.85,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,8,19.71,Healthcare,Biotechnology,1980000000.0,N/A,N/A,12.0,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,11,18.38,Healthcare,Biotechnology,1850000000.0,N/A,N/A,11.19,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,12,17.96,Healthcare,Biotechnology,1810000000.0,N/A,N/A,10.94,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,13,18.5,Healthcare,Biotechnology,1860000000.0,N/A,N/A,11.27,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,14,19.0,Healthcare,Biotechnology,1910000000.0,N/A,N/A,11.57,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,15,18.53,Healthcare,Biotechnology,1870000000.0,N/A,N/A,11.29,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,18,19.36,Healthcare,Biotechnology,1950000000.0,N/A,N/A,11.79,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,19,18.49,Healthcare,Biotechnology,1860000000.0,N/A,N/A,11.26,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,20,17.19,Healthcare,Biotechnology,1730000000.0,N/A,N/A,10.47,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,21,16.55,Healthcare,Biotechnology,1670000000.0,N/A,N/A,10.08,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,22,16.43,Healthcare,Biotechnology,1650000000.0,N/A,N/A,10.01,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,25,16.43,Healthcare,Biotechnology,1650000000.0,N/A,N/A,10.01,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,26,15.77,Healthcare,Biotechnology,1590000000.0,N/A,N/A,9.6,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,27,15.25,Healthcare,Biotechnology,1540000000.0,N/A,N/A,9.29,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,28,16.4,Healthcare,Biotechnology,1650000000.0,N/A,N/A,9.99,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,1,29,16.8,Healthcare,Biotechnology,1690000000.0,N/A,N/A,10.23,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,1,17.07,Healthcare,Biotechnology,1720000000.0,N/A,N/A,10.4,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,2,16.17,Healthcare,Biotechnology,1630000000.0,N/A,N/A,9.85,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,3,16.7,Healthcare,Biotechnology,1680000000.0,N/A,N/A,10.17,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,4,16.22,Healthcare,Biotechnology,1630000000.0,N/A,N/A,9.88,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,5,16.29,Healthcare,Biotechnology,1640000000.0,N/A,N/A,9.92,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,8,17.32,Healthcare,Biotechnology,1740000000.0,N/A,N/A,10.55,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,9,18.03,Healthcare,Biotechnology,1820000000.0,N/A,N/A,10.98,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,10,17.01,Healthcare,Biotechnology,1710000000.0,N/A,N/A,10.36,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,11,16.78,Healthcare,Biotechnology,1690000000.0,N/A,N/A,10.22,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,12,16.78,Healthcare,Biotechnology,1690000000.0,N/A,N/A,10.22,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,16,17.04,Healthcare,Biotechnology,1720000000.0,N/A,N/A,10.38,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,17,16.69,Healthcare,Biotechnology,1680000000.0,N/A,N/A,10.16,N/A,0.0,N/A
Trillium Therapeutics Inc.,TRIL,2021,2,18,16.06,Healthcare,Biotechnology,1620000000.0,N/A,N/A,9.78,N/A,0.0,N/A
