Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Turquoise Hill Resources Ltd.,TRQ,2021,1,6,17.66,Basic Materials,Copper,3550000000.0,9.89,-0.31,0.38,N/A,0.0,3.7582000000000004
Turquoise Hill Resources Ltd.,TRQ,2021,1,7,18.33,Basic Materials,Copper,3690000000.0,10.26,-0.31,0.39,N/A,0.0,4.0014
Turquoise Hill Resources Ltd.,TRQ,2021,1,8,18.36,Basic Materials,Copper,3690000000.0,10.28,-0.33,0.39,N/A,0.0,4.0092
Turquoise Hill Resources Ltd.,TRQ,2021,1,11,14.93,Basic Materials,Copper,3000000000.0,8.36,-0.33,0.32,N/A,0.0,2.6752
Turquoise Hill Resources Ltd.,TRQ,2021,1,12,15.53,Basic Materials,Copper,3130000000.0,8.7,-0.33,0.33,N/A,0.0,2.871
Turquoise Hill Resources Ltd.,TRQ,2021,1,13,15.33,Basic Materials,Copper,3080000000.0,8.58,-0.33,0.33,N/A,0.0,2.8314000000000004
Turquoise Hill Resources Ltd.,TRQ,2021,1,14,15.63,Basic Materials,Copper,3150000000.0,8.75,-0.33,0.33,N/A,0.0,2.8875
Turquoise Hill Resources Ltd.,TRQ,2021,1,15,15.25,Basic Materials,Copper,3070000000.0,8.54,-0.33,0.33,N/A,0.0,2.8182
Turquoise Hill Resources Ltd.,TRQ,2021,1,18,15.27,Basic Materials,Copper,3070000000.0,8.55,-0.27,0.33,N/A,0.0,2.8215000000000003
Turquoise Hill Resources Ltd.,TRQ,2021,1,19,15.15,Basic Materials,Copper,3050000000.0,8.48,-0.27,0.32,N/A,0.0,2.7136
Turquoise Hill Resources Ltd.,TRQ,2021,1,20,14.77,Basic Materials,Copper,2970000000.0,8.27,-0.28,0.32,N/A,0.0,2.6464
