Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
TWC Enterprises Limited,TWC,2021,1,6,15.8,Consumer Cyclical,Leisure,401760000,N/A,N/A,0.97,0.005,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,7,16.68,Consumer Cyclical,Leisure,424140000,N/A,N/A,1.03,0.0051,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,8,16.7,Consumer Cyclical,Leisure,424640000,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,11,16.5,Consumer Cyclical,Leisure,419560000,N/A,N/A,1.02,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,12,16.8,Consumer Cyclical,Leisure,427190000,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,13,16.85,Consumer Cyclical,Leisure,428460000,N/A,N/A,1.04,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,14,16.8,Consumer Cyclical,Leisure,427190000,N/A,N/A,1.03,0.0047,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,15,16.8,Consumer Cyclical,Leisure,427190000,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,18,16.79,Consumer Cyclical,Leisure,426930000,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,19,16.9,Consumer Cyclical,Leisure,429730000,N/A,N/A,1.04,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,20,16.99,Consumer Cyclical,Leisure,432020000,N/A,N/A,1.05,0.0047,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,21,17.5,Consumer Cyclical,Leisure,444990000,N/A,N/A,1.08,0.0047,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,22,17.75,Consumer Cyclical,Leisure,451340000,N/A,N/A,1.09,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,25,17.4,Consumer Cyclical,Leisure,442440000,N/A,N/A,1.07,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,26,17.75,Consumer Cyclical,Leisure,451340000,N/A,N/A,1.09,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,27,17.75,Consumer Cyclical,Leisure,451340000,N/A,N/A,1.09,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,28,17.6,Consumer Cyclical,Leisure,447530000,N/A,N/A,1.08,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,29,17.74,Consumer Cyclical,Leisure,451090000,N/A,N/A,1.09,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,1,17.5,Consumer Cyclical,Leisure,444990000,N/A,N/A,1.08,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,2,17.5,Consumer Cyclical,Leisure,444990000,N/A,N/A,1.08,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,3,17.75,Consumer Cyclical,Leisure,451340000,N/A,N/A,1.09,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,3,17.75,Consumer Cyclical,Leisure,451340000,N/A,N/A,1.09,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,5,17.6,Consumer Cyclical,Leisure,447530000,N/A,N/A,1.08,0.0045,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,8,17.61,Consumer Cyclical,Leisure,447780000.0,N/A,N/A,1.08,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,9,17.75,Consumer Cyclical,Leisure,451340000.0,N/A,N/A,1.09,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,10,17.89,Consumer Cyclical,Leisure,454900000.0,N/A,N/A,1.1,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,11,17.82,Consumer Cyclical,Leisure,453120000.0,N/A,N/A,1.1,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,12,17.75,Consumer Cyclical,Leisure,451340000.0,N/A,N/A,1.09,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,16,18.51,Consumer Cyclical,Leisure,470670000.0,N/A,N/A,1.14,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,16,18.51,Consumer Cyclical,Leisure,470670000.0,N/A,N/A,1.14,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,18,17.7,Consumer Cyclical,Leisure,450070000.0,N/A,N/A,1.09,0.0043,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,19,17.51,Consumer Cyclical,Leisure,445240000.0,N/A,N/A,1.08,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,19,17.51,Consumer Cyclical,Leisure,445240000.0,N/A,N/A,1.08,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,23,17.1,Consumer Cyclical,Leisure,434820000.0,N/A,N/A,1.05,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,24,17.15,Consumer Cyclical,Leisure,436090000.0,N/A,N/A,1.06,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,25,17.05,Consumer Cyclical,Leisure,433540000.0,N/A,N/A,1.05,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,2,26,17.0,Consumer Cyclical,Leisure,432270000.0,N/A,N/A,1.05,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,3,1,17.0,Consumer Cyclical,Leisure,432270000.0,N/A,N/A,1.05,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,3,2,17.25,Consumer Cyclical,Leisure,438630000.0,N/A,N/A,1.06,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,3,3,17.1,Consumer Cyclical,Leisure,434820000.0,N/A,N/A,1.05,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,3,4,16.66,Consumer Cyclical,Leisure,423630000.0,438.42,N/A,1.03,0.004699999999999999,N/A,449.4601373544342
TWC Enterprises Limited,TWC,2021,3,5,16.63,Consumer Cyclical,Leisure,422860000.0,415.75,N/A,1.02,0.0048,N/A,422.0392117834395
