Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Torex Gold Resources Inc.,TXG,2021,1,6,20.31,Basic Materials,Gold,1740000000.0,34.25,0.07,2.06,N/A,0.0,70.555
Torex Gold Resources Inc.,TXG,2021,1,7,20.67,Basic Materials,Gold,1770000000.0,34.86,0.07,2.09,N/A,0.0,72.8574
Torex Gold Resources Inc.,TXG,2021,1,8,19.0,Basic Materials,Gold,1630000000.0,32.04,0.07,1.92,N/A,0.0,61.516799999999996
Torex Gold Resources Inc.,TXG,2021,1,11,19.35,Basic Materials,Gold,1660000000.0,32.63,0.06,1.96,N/A,0.0,63.954800000000006
Torex Gold Resources Inc.,TXG,2021,1,12,19.3,Basic Materials,Gold,1650000000.0,32.55,0.06,1.95,N/A,0.0,63.47249999999999
Torex Gold Resources Inc.,TXG,2021,1,13,18.35,Basic Materials,Gold,1570000000.0,30.94,0.06,1.86,N/A,0.0,57.54840000000001
Torex Gold Resources Inc.,TXG,2021,1,14,17.9,Basic Materials,Gold,1530000000.0,30.19,0.06,1.81,N/A,0.0,54.6439
Torex Gold Resources Inc.,TXG,2021,1,15,17.2,Basic Materials,Gold,1470000000.0,29.01,0.06,1.74,N/A,0.0,50.4774
Torex Gold Resources Inc.,TXG,2021,1,18,17.51,Basic Materials,Gold,1500000000.0,29.53,0.05,1.77,N/A,0.0,52.268100000000004
Torex Gold Resources Inc.,TXG,2021,1,19,17.78,Basic Materials,Gold,1520000000.0,29.98,0.05,1.8,N/A,0.0,53.964
Torex Gold Resources Inc.,TXG,2021,1,20,18.08,Basic Materials,Gold,1550000000.0,30.49,0.06,1.83,N/A,0.0,55.7967
Torex Gold Resources Inc.,TXG,2021,1,21,17.57,Basic Materials,Gold,1500000000.0,29.63,0.06,1.78,N/A,0.0,52.7414
Torex Gold Resources Inc.,TXG,2021,1,22,17.43,Basic Materials,Gold,1490000000.0,29.39,0.06,1.76,N/A,0.0,51.7264
Torex Gold Resources Inc.,TXG,2021,1,25,17.32,Basic Materials,Gold,1480000000.0,29.21,0.06,1.75,N/A,0.0,51.1175
