Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,6,10.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,7,10.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,8,10.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,11,10.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,12,10.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,13,10.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,14,10.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,15,10.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,18,10.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,19,10.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,20,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,21,10.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,22,10.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,25,10.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,26,10.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,27,10.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,28,10.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,1,29,10.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,1,10.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,2,10.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,3,10.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,4,10.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,5,10.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,8,10.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,9,10.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,10,10.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,11,10.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,12,10.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,16,10.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,17,10.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,17,10.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,19,10.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,22,10.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,23,10.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,24,10.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,25,10.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,2,26,9.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,1,9.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,2,10.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,3,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,4,9.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,5,9.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canadian Utilities & Telecom Income Fund,UTE-UN,2021,3,8,9.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
