Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
VersaBank,VB,2021,1,6,9.3,Financial Services,Banks由egional,196450000.0,11.4,N/A,0.87,0.0109,0.122,9.811059451973492
VersaBank,VB,2021,1,7,9.23,Financial Services,Banks由egional,194970000.0,11.31,N/A,0.86,0.0108,0.122,9.622675108824694
VersaBank,VB,2021,1,8,9.33,Financial Services,Banks由egional,197080000.0,11.43,N/A,0.87,0.0108,0.122,9.83785120696478
VersaBank,VB,2021,1,11,9.29,Financial Services,Banks由egional,196240000.0,11.38,N/A,0.87,0.010700000000000001,0.122,9.795785099436037
VersaBank,VB,2021,1,12,9.34,Financial Services,Banks由egional,197290000.0,11.45,N/A,0.87,0.010700000000000001,0.122,9.85604036806174
VersaBank,VB,2021,1,13,9.3,Financial Services,Banks由egional,196450000.0,11.4,N/A,0.87,0.0108,0.122,9.812030075187971
VersaBank,VB,2021,1,14,9.48,Financial Services,Banks由egional,200250000.0,11.62,N/A,0.89,0.010700000000000001,0.122,10.23231423765707
VersaBank,VB,2021,1,15,10.99,Financial Services,Banks由egional,232150000.0,13.47,N/A,1.03,0.0105,0.122,13.729935675408214
VersaBank,VB,2021,1,18,11.06,Financial Services,Banks由egional,233630000.0,13.55,N/A,1.03,0.0091,0.122,13.830641165394907
VersaBank,VB,2021,1,19,11.18,Financial Services,Banks由egional,236160000.0,13.7,N/A,1.05,0.0091,0.122,14.25527697948667
VersaBank,VB,2021,1,20,11.25,Financial Services,Banks由egional,237640000.0,13.79,N/A,1.05,0.009000000000000001,0.122,14.350346878097128
VersaBank,VB,2021,1,21,11.24,Financial Services,Banks由egional,237430000.0,13.77,N/A,1.05,0.0089,0.122,14.330954504906336
VersaBank,VB,2021,1,22,11.2,Financial Services,Banks由egional,236580000.0,13.73,N/A,1.05,0.0089,0.122,14.289325007433842
VersaBank,VB,2021,1,25,11.25,Financial Services,Banks由egional,237640000.0,13.79,N/A,1.05,0.0089,0.122,14.351769253642582
VersaBank,VB,2021,1,26,11.21,Financial Services,Banks由egional,236800000.0,13.74,N/A,1.05,0.0089,0.122,14.299732381801965
VersaBank,VB,2021,1,27,11.13,Financial Services,Banks由egional,235110000.0,13.64,N/A,1.04,0.0089,0.122,14.060461889186245
VersaBank,VB,2021,1,28,10.85,Financial Services,Banks由egional,229190000.0,13.3,N/A,1.01,0.0089,0.122,13.314500941619588
VersaBank,VB,2021,1,29,10.99,Financial Services,Banks由egional,232150000.0,13.47,N/A,1.03,0.0091,0.122,13.748984243385193
VersaBank,VB,2021,2,1,11.12,Financial Services,Banks由egional,234890000.0,13.63,N/A,1.04,0.0091,0.122,14.047368942622139
VersaBank,VB,2021,2,1,11.12,Financial Services,Banks由egional,234890000.0,13.63,N/A,1.04,0.0091,0.122,14.047368942622139
