Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Seven Generations Energy Ltd.,VII,2021,1,6,6.84,Energy,Oil & Gas E&P,2280000000.0,N/A,-0.06,0.57,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,7,6.89,Energy,Oil & Gas E&P,2300000000.0,N/A,-0.06,0.57,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,8,6.82,Energy,Oil & Gas E&P,2270000000.0,N/A,-0.06,0.57,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,11,6.8,Energy,Oil & Gas E&P,2270000000.0,N/A,-0.06,0.57,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,12,7.07,Energy,Oil & Gas E&P,2360000000.0,N/A,-0.06,0.59,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,13,6.98,Energy,Oil & Gas E&P,2330000000.0,N/A,-0.06,0.58,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,14,7.17,Energy,Oil & Gas E&P,2390000000.0,N/A,-0.06,0.6,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,15,6.99,Energy,Oil & Gas E&P,2330000000.0,N/A,-0.06,0.58,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,18,6.68,Energy,Oil & Gas E&P,2230000000.0,N/A,-0.06,0.56,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,19,6.98,Energy,Oil & Gas E&P,2330000000.0,N/A,-0.06,0.58,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,20,6.95,Energy,Oil & Gas E&P,2320000000.0,N/A,-0.06,0.58,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,21,6.83,Energy,Oil & Gas E&P,2280000000.0,N/A,-0.06,0.57,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,22,6.66,Energy,Oil & Gas E&P,2220000000.0,N/A,-0.06,0.55,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,25,6.49,Energy,Oil & Gas E&P,2160000000.0,N/A,-0.06,0.54,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,26,6.16,Energy,Oil & Gas E&P,2049999999.9999998,N/A,-0.05,0.51,N/A,0.0,N/A
Seven Generations Energy Ltd.,VII,2021,1,27,6.2,Energy,Oil & Gas E&P,2069999999.9999998,N/A,-0.06,0.52,N/A,0.0,N/A
