Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
The Valens Company Inc.,VLNS,2021,1,6,1.89,Healthcare,Drug Manufacturers—Specialty & Generic,242580000.0,630.0,-1.41,1.72,N/A,0.0,1083.6
The Valens Company Inc.,VLNS,2021,1,7,2.09,Healthcare,Drug Manufacturers—Specialty & Generic,268250000.0,696.67,-1.48,1.91,N/A,0.0,1330.6397
The Valens Company Inc.,VLNS,2021,1,8,2.11,Healthcare,Drug Manufacturers—Specialty & Generic,270810000.0,703.33,-1.63,1.92,N/A,0.0,1350.3936
The Valens Company Inc.,VLNS,2021,1,11,2.4,Healthcare,Drug Manufacturers—Specialty & Generic,308040000.0,800.0,-1.63,2.19,N/A,0.0,1752.0
The Valens Company Inc.,VLNS,2021,1,12,2.39,Healthcare,Drug Manufacturers—Specialty & Generic,306750000.0,796.67,-1.63,2.18,N/A,0.0,1736.7406
The Valens Company Inc.,VLNS,2021,1,13,2.46,Healthcare,Drug Manufacturers—Specialty & Generic,315740000.0,820.0,-1.63,2.24,N/A,0.0,1836.8000000000002
The Valens Company Inc.,VLNS,2021,1,14,2.75,Healthcare,Drug Manufacturers—Specialty & Generic,352960000.0,916.67,-1.63,2.51,N/A,0.0,2300.8416999999995
The Valens Company Inc.,VLNS,2021,1,15,2.65,Healthcare,Drug Manufacturers—Specialty & Generic,340120000.0,883.33,-2.15,2.42,N/A,0.0,2137.6586
The Valens Company Inc.,VLNS,2021,1,18,2.65,Healthcare,Drug Manufacturers—Specialty & Generic,340140000.0,883.33,-2.07,2.42,N/A,0.0,2137.6586
The Valens Company Inc.,VLNS,2021,1,19,2.75,Healthcare,Drug Manufacturers—Specialty & Generic,352970000.0,916.67,-2.07,2.51,N/A,0.0,2300.8416999999995
The Valens Company Inc.,VLNS,2021,1,20,2.46,Healthcare,Drug Manufacturers—Specialty & Generic,315750000.0,820.0,-2.07,2.24,N/A,0.0,1836.8000000000002
The Valens Company Inc.,VLNS,2021,1,21,2.4,Healthcare,Drug Manufacturers—Specialty & Generic,308050000.0,800.0,-0.96,2.19,N/A,0.0,1752.0
The Valens Company Inc.,VLNS,2021,1,22,2.28,Healthcare,Drug Manufacturers—Specialty & Generic,292640000.0,760.0,-0.96,2.08,N/A,0.0,1580.8
The Valens Company Inc.,VLNS,2021,1,25,2.06,Healthcare,Drug Manufacturers—Specialty & Generic,264410000.00000003,686.67,-0.96,1.88,N/A,0.0,1290.9396
The Valens Company Inc.,VLNS,2021,1,26,1.87,Healthcare,Drug Manufacturers—Specialty & Generic,241550000.0,623.33,-0.8,1.7,N/A,0.0,1059.661
