Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Waste Connections Inc.,WCN,2021,1,6,130.7,Industrials,Waste Management,34660000000.0,167.35,N/A,5.16,0.008199999999999999,0.9487000000000001,856.5026780400714
Waste Connections Inc.,WCN,2021,1,7,131.87,Industrials,Waste Management,34660000000.0,168.85,N/A,5.2,0.008100000000000001,0.9487000000000001,870.9651820255926
Waste Connections Inc.,WCN,2021,1,8,133.74,Industrials,Waste Management,35150000000.0,171.24,N/A,5.28,0.008100000000000001,0.9487000000000001,896.8824521376848
Waste Connections Inc.,WCN,2021,1,11,132.58,Industrials,Waste Management,34830000000.0,169.76,N/A,5.23,0.008100000000000001,0.9487000000000001,880.711040571372
Waste Connections Inc.,WCN,2021,1,12,130.96,Industrials,Waste Management,34320000000.0,167.68,N/A,5.17,0.008,0.9487000000000001,860.0253968253969
Waste Connections Inc.,WCN,2021,1,13,130.51,Industrials,Waste Management,34360000000.0,167.11,N/A,5.15,0.008,0.9487000000000001,853.7862103174604
Waste Connections Inc.,WCN,2021,1,14,128.5,Industrials,Waste Management,33990000000.000004,164.53,N/A,5.07,0.008199999999999999,0.9487000000000001,827.3825629835351
Waste Connections Inc.,WCN,2021,1,15,129.61,Industrials,Waste Management,34280000000.0,165.95,N/A,5.11,0.008199999999999999,0.9487000000000001,841.1074191628645
Waste Connections Inc.,WCN,2021,1,18,129.81,Industrials,Waste Management,34550000000.0,166.21,N/A,5.12,0.0083,0.9487000000000001,843.9900823167709
Waste Connections Inc.,WCN,2021,1,19,130.58,Industrials,Waste Management,34750000000.0,167.2,N/A,5.15,0.0083,0.9487000000000001,853.9918674997522
Waste Connections Inc.,WCN,2021,1,20,130.1,Industrials,Waste Management,34240000000.000004,166.58,N/A,5.13,0.008199999999999999,0.9487000000000001,847.6050386828011
Waste Connections Inc.,WCN,2021,1,21,130.05,Industrials,Waste Management,34410000000.0,166.52,N/A,5.13,0.008199999999999999,0.9487000000000001,847.2997421146598
Waste Connections Inc.,WCN,2021,1,22,131.03,Industrials,Waste Management,34690000000.0,167.77,N/A,5.17,0.008199999999999999,0.9487000000000001,860.3163062884348
Waste Connections Inc.,WCN,2021,1,25,129.96,Industrials,Waste Management,33960000000.0,166.4,N/A,5.13,0.008199999999999999,0.9487000000000001,846.6891489783774
Waste Connections Inc.,WCN,2021,1,26,128.94,Industrials,Waste Management,34030000000.0,165.1,N/A,5.09,0.008199999999999999,0.9487000000000001,833.5241023606427
Waste Connections Inc.,WCN,2021,1,27,126.99,Industrials,Waste Management,33270000000.000004,162.6,N/A,5.01,0.0084,0.9487000000000001,807.840142800476
Waste Connections Inc.,WCN,2021,1,28,127.63,Industrials,Waste Management,33430000000.0,163.42,N/A,5.04,0.0084,0.9487000000000001,816.7758825862753
Waste Connections Inc.,WCN,2021,1,29,125.98,Industrials,Waste Management,33229999999.999996,161.31,N/A,4.97,0.0084,0.9487000000000001,795.032427608092
Waste Connections Inc.,WCN,2021,2,1,126.64,Industrials,Waste Management,33119999999.999996,162.15,N/A,5.0,0.0085,0.9487000000000001,803.9167079821517
Waste Connections Inc.,WCN,2021,2,2,127.85,Industrials,Waste Management,33439999999.999996,163.7,N/A,5.04,0.0085,0.9487000000000001,818.0941993058999
Waste Connections Inc.,WCN,2021,2,3,126.73,Industrials,Waste Management,33330000000.0,162.27,N/A,5.0,0.0084,0.9487000000000001,804.59143197144
Waste Connections Inc.,WCN,2021,2,4,126.76,Industrials,Waste Management,33460000000.0,162.3,N/A,5.0,0.0084,0.9487000000000001,804.740182467275
Waste Connections Inc.,WCN,2021,2,5,126.32,Industrials,Waste Management,33119999999.999996,161.74,N/A,4.98,0.0084,0.9487000000000001,798.7556525188419
Waste Connections Inc.,WCN,2021,2,8,126.07,Industrials,Waste Management,33290000000.0,161.42,N/A,4.97,0.0084,0.9487000000000001,795.5745735819119
